2019 Federal Election House of Representatives Two Party Preferred By Division [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:55 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
DivisionNm,DivisionID,StateAb,PartyAb,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
Ryan,177,QLD,LNP,54023,56.03,42403,43.97,96426,-2.95
Scullin,232,VIC,ALP,26022,28.34,65787,71.66,91809,-2.08
Shortland,148,NSW,ALP,45543,45.55,54437,54.45,99980,5.49
Solomon,307,NT,ALP,25844,46.92,29240,53.08,55084,3.01
Spence,325,SA,ALP,36455,35.87,65174,64.13,101629,3.04
Stirling,246,WA,LP,48289,55.65,38490,44.35,86779,-0.47
Sturt,190,SA,LP,62404,56.87,47328,43.13,109732,1.48
Swan,247,WA,LP,44333,52.69,39804,47.31,84137,-0.9
Sydney,149,NSW,ALP,29705,31.33,65110,68.67,94815,-3.36
Tangney,248,WA,LP,51275,61.47,32144,38.53,83419,0.4
Wannon,233,VIC,LP,62733,60.38,41156,39.62,103889,1.23
Warringah,151,NSW,LP,48011,52.12,44112,47.88,92123,-8.97
Watson,251,NSW,ALP,30732,36.48,53518,63.52,84250,4.06
Wentworth,152,NSW,LP,53716,59.85,36038,40.15,89754,-7.9
Werriwa,153,NSW,ALP,41959,44.53,52270,55.47,94229,2.73
Whitlam,150,NSW,ALP,40130,39.09,62541,60.91,102671,39.09
Wide Bay,178,QLD,LNP,59279,63.15,34593,36.85,93872,4.96
Wills,234,VIC,ALP,23202,24.15,72888,75.85,96090,-4.18
Wright,316,QLD,LNP,62571,64.58,34322,35.42,96893,4.96
