2022 Federal Election House of Representatives Distribution of Preferences By Division [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:09 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,CountNumber,BallotPosition,CandidateID,Surname,GivenNm,PartyAb,PartyNm,Elected,HistoricElected,CalculationType,CalculationValue
ACT,101,Canberra,0,1,36238,SMITH,Catherine,UAPP,United Australia Party,N,N,Preference Percent,1.83
ACT,101,Canberra,0,1,36238,SMITH,Catherine,UAPP,United Australia Party,N,N,Transfer Count,0
ACT,101,Canberra,0,1,36238,SMITH,Catherine,UAPP,United Australia Party,N,N,Transfer Percent,0
ACT,101,Canberra,0,2,37456,MILES,James,ON,Pauline Hanson's One Nation,N,N,Preference Count,1531
ACT,101,Canberra,0,2,37456,MILES,James,ON,Pauline Hanson's One Nation,N,N,Preference Percent,1.66
ACT,101,Canberra,0,2,37456,MILES,James,ON,Pauline Hanson's One Nation,N,N,Transfer Count,0
ACT,101,Canberra,0,2,37456,MILES,James,ON,Pauline Hanson's One Nation,N,N,Transfer Percent,0
ACT,101,Canberra,0,3,32830,BOHM,Tim,IND,Independent,N,N,Preference Count,4772
ACT,101,Canberra,0,3,32830,BOHM,Tim,IND,Independent,N,N,Preference Percent,5.17
ACT,101,Canberra,0,3,32830,BOHM,Tim,IND,Independent,N,N,Transfer Count,0
ACT,101,Canberra,0,3,32830,BOHM,Tim,IND,Independent,N,N,Transfer Percent,0
ACT,101,Canberra,0,4,37211,MINSON,Slade,LP,Liberal,N,N,Preference Count,20102
ACT,101,Canberra,0,4,37211,MINSON,Slade,LP,Liberal,N,N,Preference Percent,21.77
ACT,101,Canberra,0,4,37211,MINSON,Slade,LP,Liberal,N,N,Transfer Count,0
ACT,101,Canberra,0,4,37211,MINSON,Slade,LP,Liberal,N,N,Transfer Percent,0
ACT,101,Canberra,0,5,36241,HOLLO,Tim,GRN,The Greens,N,N,Preference Count,22795
ACT,101,Canberra,0,5,36241,HOLLO,Tim,GRN,The Greens,N,N,Preference Percent,24.69
ACT,101,Canberra,0,5,36241,HOLLO,Tim,GRN,The Greens,N,N,Transfer Count,0
ACT,101,Canberra,0,5,36241,HOLLO,Tim,GRN,The Greens,N,N,Transfer Percent,0
ACT,101,Canberra,0,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Preference Count,41435
ACT,101,Canberra,0,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Preference Percent,44.88
ACT,101,Canberra,0,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Transfer Count,0
ACT,101,Canberra,0,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Transfer Percent,0
ACT,101,Canberra,1,1,36238,SMITH,Catherine,UAPP,United Australia Party,N,N,Preference Count,2546
ACT,101,Canberra,1,1,36238,SMITH,Catherine,UAPP,United Australia Party,N,N,Preference Percent,2.76
ACT,101,Canberra,1,1,36238,SMITH,Catherine,UAPP,United Australia Party,N,N,Transfer Count,859
ACT,101,Canberra,1,1,36238,SMITH,Catherine,UAPP,United Australia Party,N,N,Transfer Percent,56.11
ACT,101,Canberra,1,2,37456,MILES,James,ON,Pauline Hanson's One Nation,N,N,Preference Count,0
ACT,101,Canberra,1,2,37456,MILES,James,ON,Pauline Hanson's One Nation,N,N,Preference Percent,0
ACT,101,Canberra,1,2,37456,MILES,James,ON,Pauline Hanson's One Nation,N,N,Transfer Count,-1531
ACT,101,Canberra,1,2,37456,MILES,James,ON,Pauline Hanson's One Nation,N,N,Transfer Percent,-100
ACT,101,Canberra,1,3,32830,BOHM,Tim,IND,Independent,N,N,Preference Count,4977
ACT,101,Canberra,1,3,32830,BOHM,Tim,IND,Independent,N,N,Preference Percent,5.39
ACT,101,Canberra,1,3,32830,BOHM,Tim,IND,Independent,N,N,Transfer Count,205
ACT,101,Canberra,1,3,32830,BOHM,Tim,IND,Independent,N,N,Transfer Percent,13.39
ACT,101,Canberra,1,4,37211,MINSON,Slade,LP,Liberal,N,N,Preference Count,20405
ACT,101,Canberra,1,4,37211,MINSON,Slade,LP,Liberal,N,N,Preference Percent,22.1
ACT,101,Canberra,1,4,37211,MINSON,Slade,LP,Liberal,N,N,Transfer Count,303
ACT,101,Canberra,1,4,37211,MINSON,Slade,LP,Liberal,N,N,Transfer Percent,19.79
ACT,101,Canberra,1,5,36241,HOLLO,Tim,GRN,The Greens,N,N,Preference Count,22861
ACT,101,Canberra,1,5,36241,HOLLO,Tim,GRN,The Greens,N,N,Preference Percent,24.76
