CED_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
CED515,74055,78691,152748,1876,2030,3903,228,235,463,301,290,596,136,141,282,84,73,157,7355,7918,15268,13,23,40,50,39,93,28,26,48,9,8,18,8211,8760,16973,850,887,1730,175,169,343,11113,11841,22954,3959,2808,6761,89128,93337,182464
CED594,650,443,1089,269,221,487,144,127,273,133,121,259,180,191,365,40,42,86,775,793,1565,27,17,42,30,25,58,3,12,8,0,0,0,1335,1324,2661,99,96,192,43,20,61,1743,1662,3403,2228,1281,3513,4620,3386,8005
CED597,200,24,229,0,0,0,7,0,3,0,0,0,6,3,10,0,0,0,31,4,39,0,0,0,3,0,3,0,0,0,0,0,0,46,9,55,10,0,14,0,0,0,55,10,71,200,19,216,455,58,514
CED601,42985,44788,87771,1121,1177,2300,613,503,1115,568,529,1099,344,373,720,61,52,114,99,131,224,4048,4529,8579,38,37,76,22,22,43,0,0,3,5795,6178,11971,174,181,346,131,133,259,7219,7660,14880,3179,3029,6205,53376,55479,108857
CED602,42730,44809,87538,1660,1844,3500,376,359,737,415,361,775,324,354,680,52,41,101,75,85,160,3541,4051,7591,46,50,93,20,23,44,4,4,5,4845,5333,10176,135,161,300,100,120,218,6740,7454,14195,3384,3363,6743,52851,55626,108479
CED603,42339,44611,86956,1091,1166,2256,888,826,1709,913,823,1735,335,363,704,65,73,135,89,112,202,5243,5421,10664,32,35,70,56,60,116,0,0,0,7622,7712,15328,362,350,708,194,132,321,9264,9353,18615,2522,2556,5079,54128,56528,110652
CED604,44212,46883,91095,1210,1294,2502,483,445,931,472,408,879,303,322,624,53,53,98,69,69,141,3935,4242,8180,45,44,90,34,36,71,0,0,0,5385,5622,11009,220,229,448,111,95,209,6929,7242,14174,2914,2548,5466,54056,56682,110736
CED605,45817,46049,91864,1455,1592,3048,320,315,628,348,330,681,313,342,657,37,30,64,66,61,126,3239,3553,6788,33,31,65,21,18,38,0,0,0,4369,4671,9041,156,135,288,107,94,196,6089,6489,12578,3857,3666,7527,55764,56208,111973
CED694,178,106,280,64,46,107,27,26,48,23,29,54,20,37,62,8,10,21,4,7,9,197,198,394,0,4,3,0,0,0,0,0,0,284,314,593,15,11,23,7,3,8,362,374,736,224,138,360,761,612,1377
CED697,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,13,0,19
CED701,44331,43754,88079,2127,2315,4439,579,587,1165,670,703,1371,757,793,1547,314,341,659,371,399,770,55,52,102,3470,3708,7171,60,50,109,0,3,6,6269,6629,12904,364,353,718,186,170,353,8949,9464,18416,7797,5174,12971,61078,58391,119469
CED702,38576,38936,77512,1116,1194,2306,797,784,1583,914,926,1840,703,723,1427,280,322,602,325,350,673,45,42,92,5740,5971,11712,120,136,251,3,3,10,8923,9260,18185,454,482,940,255,189,448,10752,11127,21883,4951,4415,9368,54280,54478,108761
CED794,541,431,972,165,137,306,82,99,179,91,95,184,122,135,261,28,36,64,65,59,120,7,9,21,108,123,232,8,4,9,0,0,0,509,557,1069,36,46,83,8,3,13,721,747,1469,557,486,1038,1816,1661,3479
CED797,42,10,53,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,3,0,3,3,0,3,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,15,0,18,25,0,24,83,15,99
CED801,60326,63047,123378,729,819,1547,1749,1718,3470,402,340,742,350,358,710,73,71,148,57,70,130,29,36,63,51,45,90,6653,6908,13558,0,0,4,9368,9550,18914,563,544,1104,168,111,277,10819,11024,21844,2993,2633,5624,74142,76708,150845
CED802,50701,53118,103818,1497,1506,3001,3313,3498,6807,1085,1146,2227,773,715,1486,203,212,414,289,251,543,75,79,154,103,100,203,7575,8033,15607,9,8,18,13411,14041,27455,1152,1158,2310,191,173,363,16256,16877,33135,3824,3485,7313,70780,73488,144267
CED803,61667,63048,124715,1006,1040,2047,2200,2146,4347,746,624,1375,480,477,958,93,107,196,89,92,180,44,33,76,93,91,185,7744,7620,15369,3,6,7,11492,11200,22690,650,661,1310,206,155,357,13354,13049,26409,2558,2457,5013,77579,78558,156139
CED894,78,45,120,17,29,45,22,37,56,19,13,26,12,0,8,0,4,4,0,0,4,0,0,5,0,0,0,70,92,159,0,0,0,127,147,273,12,10,26,5,0,0,153,189,348,98,36,135,331,273,601
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,0,0,0,0,0,0,5,6,4,5,0,8,6,4,11
