CED_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
CED111,38368,108274,2903,5344,5229,11216,8131,16564,5177,9218,2978,5076,3827,6966,2075,3959,223,495,14280,25714,24,41,145,212,0,0,300,609,475,865,140,295,61396,151708,4524,..,65923,151708
CED112,48069,132352,4516,7475,2896,5828,7412,13304,2402,3815,478,832,749,1257,146,252,149,294,3923,6456,129,196,84,137,0,3,58,111,274,448,101,208,59780,152759,5687,..,65463,152759
CED113,50179,129524,3328,5682,2372,4691,5699,10377,2436,4093,689,1231,953,1668,80,130,78,180,4241,7305,126,232,248,374,22,44,115,264,512,917,256,515,60888,148643,10062,..,70941,148643
CED114,56093,140669,5679,8873,544,845,6223,9721,1713,3168,105,187,32,45,0,0,19,42,1861,3445,143,248,145,211,21,51,156,364,476,877,304,657,64963,155365,8006,..,72970,155365
CED115,32319,110375,1201,2907,5106,15154,6309,18061,2517,5493,5766,12744,2354,5766,3099,7024,621,1824,14352,32847,3,14,0,0,4,4,111,263,116,282,145,347,53241,161911,4141,..,57378,161911
CED116,54668,133601,3684,6108,2168,4012,5849,10118,1668,2671,234,395,347,516,0,3,157,299,2415,3886,229,343,781,1193,4,11,108,239,1124,1798,318,487,64375,149886,19647,..,84023,149886
CED117,16875,47025,9538,23201,7986,20402,17523,43604,7904,14200,9085,16116,7493,13949,1154,2252,268,516,25907,47034,0,0,5,11,0,0,1001,2049,1006,2060,137,252,61444,139961,6830,..,68283,139961
CED118,48573,154488,2640,6829,5678,16857,8316,23686,602,1171,259,693,4606,10762,219,569,308,790,5991,13985,0,0,5,6,5,3,54,140,57,148,137,376,63077,192679,3395,..,66471,192679
CED119,37728,116356,1391,3172,4388,11083,5783,14254,1457,2504,3038,5636,2303,4343,199,398,134,286,7129,13174,3,9,30,46,0,0,59,120,97,176,56,102,50790,144064,2433,..,53224,144064
CED120,54084,154435,2108,3408,956,1957,3065,5367,634,902,66,86,12,15,0,0,152,376,872,1381,79,124,134,186,14,20,109,202,338,540,149,276,58501,161988,5237,..,63739,161988
CED121,56291,150000,3686,6096,1253,2235,4944,8330,1018,1485,103,186,77,141,0,0,120,243,1324,2054,146,214,219,329,9,21,62,120,434,680,149,290,63147,161365,5725,..,68870,161365
CED122,18556,56774,3797,9736,5940,16768,9739,26504,6815,13935,15360,29919,11899,24791,6435,14515,147,329,40661,83488,0,0,0,0,3,11,464,946,463,958,123,238,69536,167959,7996,..,77534,167959
CED123,48425,143664,2668,5569,6151,15027,8814,20601,1692,2628,1524,2588,2311,4094,831,1480,245,572,6604,11360,0,0,93,120,7,21,54,136,149,271,97,218,64098,176117,3686,..,67784,176117
CED124,53367,131437,3946,6344,786,1477,4735,7824,2137,3191,478,716,381,627,75,133,50,120,3121,4790,276,423,541,825,14,40,160,312,997,1601,205,374,62418,146027,9624,..,72047,146027
CED125,54655,172369,3103,6828,4033,9733,7141,16561,1023,1772,475,789,1564,3020,180,337,377,834,3617,6755,0,8,88,124,0,7,13,20,105,153,90,183,65604,196022,3151,..,68756,196022
CED126,35019,108121,1032,1936,3680,8043,4716,9981,3022,5608,6360,12770,4524,8880,517,1051,309,743,14725,29054,20,53,46,60,0,8,171,390,240,507,118,271,54824,147928,4181,..,59004,147928
CED127,48140,128575,2425,4313,1117,2163,3536,6474,1056,1565,297,465,50,73,0,0,196,440,1608,2544,38,64,52,67,13,32,65,125,167,280,139,242,53591,138114,4984,..,58576,138114
CED128,38391,126223,1684,4069,4659,15309,6341,19381,1771,3496,2879,6549,2634,6169,665,1603,481,1414,8432,19235,59,69,0,0,6,15,32,89,99,170,142,395,53405,165404,3388,..,56797,165404
CED129,46835,152412,969,1997,4946,13836,5905,15834,1229,2091,1232,2804,3007,6524,1303,2917,181,463,6945,14805,0,0,0,0,0,0,3,6,3,6,93,237,59786,183291,3111,..,62896,183291
CED130,53681,132054,3826,6130,623,1046,4449,7174,1103,1691,72,123,18,40,3,4,36,66,1235,1922,154,232,153,211,29,49,99,216,439,708,245,439,60053,142304,7901,..,67959,142304
CED131,44495,117203,4402,7833,6130,12827,10531,20662,3493,5452,2289,3723,1921,3226,1386,2254,290,586,9383,15233,8,16,17,17,0,4,225,412,250,452,128,205,64787,153752,5439,..,70226,153752
CED132,21195,64376,2029,4999,4999,12058,7034,17057,5169,9906,10680,20599,11731,22558,11545,21842,101,254,39222,75157,0,0,8,12,0,0,142,300,152,317,118,198,67719,157108,8012,..,75728,157108
CED133,55559,139038,3446,5575,1551,2929,5001,8508,2033,3222,200,349,22,36,5,5,180,333,2433,3940,406,687,614,900,48,85,235,534,1306,2204,249,473,64545,154164,7123,..,71667,154164
CED134,49480,124556,3040,4947,232,407,3268,5359,1845,2778,8,20,5,9,0,0,33,74,1895,2872,165,301,52,88,219,366,98,232,537,996,494,1044,55677,134826,9295,..,64970,134826
CED135,25890,82059,2143,4791,8242,23958,10380,28749,4924,10883,9583,22034,10883,26983,7312,17537,288,815,32991,78250,5,24,0,0,0,4,231,617,234,641,219,456,69717,190151,8117,..,77833,190151
CED136,55592,148233,5048,8694,2504,4923,7550,13612,1088,1541,234,363,459,790,0,0,161,348,1940,3045,276,360,246,432,10,30,81,146,612,962,150,286,65852,166138,7218,..,73063,166138
CED137,23144,71691,1876,4633,4272,11844,6146,16472,5282,10981,7713,17658,18166,40692,14028,31005,183,433,45370,100776,0,0,0,0,0,0,565,1243,565,1243,268,515,75494,190697,8502,..,83998,190697
CED138,44288,116080,6475,12305,5122,10688,11595,22997,3087,5074,1818,3199,693,1203,550,951,239,474,6386,10898,290,446,972,1392,25,37,135,257,1414,2135,244,432,63929,152540,7362,..,71298,152540
CED139,54160,136080,2443,3748,335,557,2776,4302,2995,4461,150,193,41,54,3,6,44,75,3233,4792,94,141,70,119,13,34,183,417,368,710,208,440,60743,146331,7436,..,68180,146331
CED140,43165,114705,4822,8025,3183,6276,8003,14300,3857,6786,1044,1836,1729,3152,450,825,226,484,7303,13078,135,195,350,545,3,3,74,132,567,882,165,286,59198,143256,7574,..,66774,143256
CED141,49724,129117,3647,5897,1994,3935,5643,9833,1739,2632,227,339,614,1007,248,435,144,288,2982,4690,106,176,102,146,6,10,76,179,294,507,67,124,58712,144271,4219,..,62928,144271
CED142,2195,5892,4273,9224,14001,32756,18270,41982,2314,3845,8025,13339,27100,48294,34456,65467,91,201,71984,131142,0,0,0,0,0,0,532,1056,532,1058,416,671,93398,180742,17576,..,110983,180742
CED143,23717,74814,1979,4728,3466,8453,5442,13187,6201,12793,12720,24244,6517,11972,2481,4374,298,669,28212,54044,0,0,10,20,0,0,245,515,258,536,111,197,57730,142773,6028,..,63760,142773
CED144,26940,90526,2448,6316,6970,21550,9416,27871,10092,23845,6000,14511,3990,9544,1095,2531,373,1121,21541,51562,5,8,0,0,0,0,271,640,275,648,129,310,58304,170915,5132,..,63434,170915
CED145,10427,32373,3502,9256,8186,21473,11684,30727,6317,12760,14814,27993,10689,18213,5162,8798,121,297,37109,68058,0,0,0,0,0,0,765,1496,765,1496,136,233,60119,132884,9295,..,69407,132884
CED146,47322,165229,2067,5078,4908,13790,6979,18868,604,999,520,798,296,724,225,425,511,1392,2155,4339,0,0,0,0,4,8,17,43,19,54,179,491,56648,188977,2703,..,59351,188977
CED147,52275,141808,3794,6539,3080,6550,6876,13087,1905,3110,165,290,98,161,0,3,210,493,2378,4055,290,406,148,195,5,6,79,174,519,787,87,174,62141,159913,3885,..,66031,159913
CED194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
CED201,47854,134038,5021,9207,2931,6847,7959,16053,671,1107,385,598,243,388,170,261,56,131,1531,2492,0,0,0,0,0,0,47,92,47,92,37,71,57422,152738,2973,..,60403,152738
CED202,51946,129313,4956,8202,584,1083,5537,9289,1123,1588,88,129,3,5,0,0,16,41,1234,1756,68,105,59,82,8,19,87,177,226,380,101,205,59035,140949,6546,..,65582,140949
CED203,54416,133013,3322,5086,486,921,3804,6004,418,655,17,44,0,0,0,0,22,22,456,724,83,121,84,187,13,24,99,196,279,525,109,223,59059,140491,5715,..,64779,140491
CED204,48108,144347,5329,12022,2433,7017,7758,19039,1955,3998,284,510,106,217,0,0,33,58,2378,4789,0,6,90,126,0,0,24,56,117,185,57,133,58429,168483,3177,..,61610,168483
CED205,48957,162793,2460,6289,2583,6751,5039,13033,1045,2714,0,4,128,286,0,0,29,62,1208,3069,47,48,63,68,0,6,5,20,115,143,58,157,55380,179189,3363,..,58735,179189
