CED_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
CED605,0,34,0,34,..,60,5,70,0,68,..,5,0,9,0,9,..,58,23,83,0,80,..,679,82,764,30,794,..,3410,331,3736,68,3808,..,248,13,259,6501,6757,102497,3652,346,3996,6572,113067
CED694,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,18,3,27,0,23,..,63,11,73,3,74,..,4,0,4,314,325,978,70,11,77,318,1377
CED697,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,3,3,11,0,0,0,3,19
CED701,4,103,0,103,..,264,54,319,0,318,..,18,3,20,0,20,..,286,163,446,3,454,..,30700,4861,35558,849,36409,..,39260,6032,45297,998,46293,..,878,182,1066,12233,13294,61412,40145,6218,46361,13227,121004
CED702,36,440,6,447,..,567,150,718,0,717,..,38,5,42,0,42,..,871,241,1113,0,1115,..,3427,509,3931,123,4051,..,26267,2997,29263,355,29619,..,746,122,862,9020,9882,70784,27013,3109,30127,9372,110288
CED794,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,310,41,349,36,392,..,454,56,514,42,551,..,109,11,125,1214,1343,1605,567,70,636,1259,3500
CED797,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,7,0,11,0,11,..,0,0,0,24,24,63,7,4,11,24,99
CED801,39,761,5,767,..,348,80,431,8,434,..,89,11,102,6,107,..,810,175,975,5,985,..,4509,496,4996,98,5095,..,27344,2676,30017,345,30360,..,520,57,577,5150,5730,116516,27857,2731,30590,5500,152610
CED802,23,594,4,593,..,323,60,387,0,388,..,116,7,123,0,123,..,1214,244,1457,21,1478,..,4143,399,4546,62,4606,..,29048,2705,31755,282,32031,..,538,71,609,7151,7760,105717,29584,2779,32363,7433,145507
CED803,43,1039,18,1054,..,391,81,470,8,477,..,145,16,158,9,163,..,2017,537,2553,18,2565,..,6270,873,7142,154,7291,..,43775,5716,49494,490,49988,..,729,133,861,4857,5715,102568,44500,5849,50353,5344,158267
CED894,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,18,3,19,0,19,..,71,10,78,0,81,..,5,0,5,125,130,400,76,10,82,127,605
CED897,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,3,5,0,5,..,0,0,0,3,3,5,3,3,5,3,11
CED997,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
