CED_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
CED220,463,986,1450,148,319,470,154,637,790,144,1107,1257,391,2035,2422,384,1666,2049,937,1411,2341,997,1800,2796,1356,2469,3829,1670,2407,4076,1331,2388,3720,1554,1984,3545,3790,3932,7724,3213,526,3747,3127,1199,4323,2334,265,2596,14243,2324,16572,2011,573,2588,323,542,865,38580,28570,67153
CED221,441,397,837,116,93,210,182,216,394,176,528,704,560,1358,1919,734,817,1555,2020,607,2626,2266,1011,3284,2883,1146,4024,3798,936,4729,3357,756,4111,3499,491,3987,7922,627,8547,5709,129,5837,3928,141,4079,2280,56,2337,3876,157,4036,2633,183,2820,538,343,877,46911,9994,56904
CED222,879,1011,1897,278,285,561,302,640,937,320,1280,1598,950,2985,3935,883,1492,2373,2870,1092,3965,2642,1553,4196,3103,1523,4624,3725,1261,4987,2972,1047,4019,2954,802,3751,6250,1359,7611,4661,385,5045,3694,453,4145,2520,186,2709,6720,609,7330,2538,506,3047,523,486,1012,48778,18970,67744
CED223,376,589,960,192,268,464,168,650,816,232,1404,1635,852,3742,4592,863,2281,3141,3104,1548,4649,2684,1888,4575,3220,1843,5066,3662,1190,4852,2504,969,3473,2770,650,3416,5794,821,6611,3865,107,3973,2726,184,2912,1650,35,1686,3255,306,3557,2854,180,3032,659,905,1566,41432,19548,60982
CED224,464,639,1099,167,229,403,188,482,669,175,947,1118,536,2660,3199,610,1776,2384,1821,1180,2999,1722,1427,3154,2281,1548,3827,2538,1248,3791,2073,1129,3199,2188,938,3123,5192,1433,6621,4598,158,4758,4198,364,4561,2986,62,3044,8698,461,9161,2059,170,2233,450,535,992,42955,17382,60340
CED225,454,549,1003,174,184,358,178,453,632,169,829,996,534,2122,2651,556,1411,1968,1618,1147,2765,1654,1205,2852,2147,1321,3469,2528,1071,3594,2012,1055,3065,2181,828,3009,4921,1431,6348,4327,170,4496,4142,318,4468,3026,77,3105,10269,443,10707,2171,202,2371,437,405,847,43490,15218,58707
CED226,729,700,1431,243,249,491,261,467,727,211,708,919,463,1436,1891,478,1361,1833,1095,1189,2285,1112,1381,2492,1589,1637,3231,1999,1561,3560,1545,1429,2973,1701,1213,2910,3984,2300,6282,3231,277,3510,3171,643,3817,2395,173,2562,15653,1307,16959,2520,365,2890,341,370,708,42712,18770,61481
CED227,384,376,756,143,114,256,155,258,412,167,557,726,491,1539,2029,626,1087,1716,1882,705,2590,1858,1022,2881,2557,1166,3720,3198,925,4122,2618,775,3389,3113,583,3697,6943,744,7690,5576,113,5693,4058,177,4235,2426,41,2466,5305,205,5510,2450,131,2581,538,381,919,44490,10891,55379
CED228,517,521,1036,141,134,275,206,308,510,256,697,946,624,1504,2125,958,1055,2012,2182,823,3006,2375,1124,3497,3119,1388,4503,3906,1125,5036,3415,992,4408,3448,646,4095,8031,1018,9043,5606,202,5806,4294,255,4545,2652,99,2750,5400,352,5753,2654,239,2899,605,416,1020,50370,12893,63257
CED229,505,1314,1824,163,344,506,152,797,951,171,1476,1642,393,2269,2663,453,1957,2403,965,1761,2724,1014,2452,3471,1490,3436,4924,1898,3288,5182,1539,3328,4864,1787,2848,4634,4519,5809,10325,3673,641,4311,3557,1669,5234,2605,338,2944,12893,3041,15935,2039,777,2818,376,669,1045,40180,38217,78399
