CED_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
CED503,312,81,919,508,313,321,276,314,31,3078,5,4,7,14,5,7,6,17,0,69,52,88,124,93,53,18,108,45,26,608,135,80,263,155,125,85,188,166,241,1434,5064,8856,10287,6364,4717,2342,3380,2869,765,44654
CED504,347,119,1243,665,439,331,260,385,37,3831,4,3,10,13,9,10,12,19,5,82,77,139,129,126,105,57,92,111,24,864,125,126,308,230,167,119,164,229,332,1804,5874,14690,10094,8048,6857,3283,3218,4092,973,57115
CED505,277,81,630,355,221,156,73,153,21,1953,8,3,8,17,9,8,4,20,4,76,173,290,59,105,108,67,25,47,33,910,141,202,133,123,124,72,43,83,203,1128,13090,34052,5562,5667,6802,3062,1234,2340,967,72787
CED506,396,91,920,504,431,265,329,397,45,3376,3,4,8,11,6,7,6,22,3,70,130,111,187,122,83,31,137,99,36,938,260,193,440,242,187,139,308,369,366,2512,7861,12282,13231,6782,5960,2354,4607,4486,1121,58672
CED507,368,76,1100,507,311,309,255,394,38,3350,6,6,5,15,0,15,10,16,3,75,82,128,120,90,73,39,115,81,22,741,156,110,295,148,106,125,176,231,204,1551,5882,11248,10710,6336,4815,2683,3135,4165,743,49708
CED508,388,104,1106,546,356,284,160,248,34,3223,5,10,10,12,9,5,7,7,0,68,139,222,156,132,102,46,71,74,34,970,136,152,312,170,128,81,107,155,256,1491,8703,22082,10565,7132,6929,2838,2375,2991,923,64532
CED509,370,115,1055,634,517,367,322,312,31,3712,0,9,9,13,16,12,10,10,0,77,105,130,146,172,106,50,130,71,25,930,173,119,279,183,153,104,177,164,307,1666,7299,14276,11200,8013,7087,3035,3591,3084,927,58502
CED510,352,122,791,462,439,286,116,177,20,2772,4,5,4,10,6,9,5,13,0,50,122,185,109,113,107,50,35,28,21,766,149,161,249,141,145,84,66,115,215,1317,9803,20994,9976,6702,7430,2932,1725,2295,825,62677
CED511,352,68,820,433,315,235,296,353,29,2899,0,4,9,11,3,11,8,18,0,73,91,75,118,104,39,15,103,62,13,612,267,95,342,202,121,111,251,307,213,1898,7972,9808,9775,5670,4565,2115,3838,4045,748,48544
CED512,392,136,1256,751,591,412,260,355,44,4206,3,10,11,11,3,17,0,16,4,84,93,106,142,141,119,62,97,75,23,857,168,105,333,182,198,108,154,204,344,1784,6986,14127,12078,8746,7418,3351,3185,3698,965,60559
