CED_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
CED313,615,69,207,0,0,893,163,21,66,0,0,256,142,31,61,0,0,231,187,51,133,0,0,376,276,75,212,0,0,564,780,273,971,5,6,2033,967,539,1357,3,3,2865,2137,717,1271,8,6,4131,2005,347,475,0,0,2820,2555,181,370,0,8,3121,2573,97,326,0,3,3001,722,109,250,0,6,1082,13127,2499,5699,11,27,21370
CED314,727,32,17,0,3,779,313,25,7,0,0,355,324,35,18,0,0,373,714,64,16,0,0,795,1127,93,32,0,0,1252,3939,259,61,4,5,4266,4163,134,21,5,0,4321,3612,55,15,6,3,3690,1260,15,7,0,8,1293,844,11,0,0,0,858,533,9,0,0,0,541,910,40,10,0,0,959,18458,775,207,13,21,19483
CED315,729,40,29,0,0,803,283,35,12,0,0,336,288,38,22,0,0,348,692,80,41,3,0,820,1211,102,49,0,0,1369,4201,175,112,0,0,4491,4664,98,77,9,8,4857,3820,52,78,0,7,3957,1191,14,26,0,0,1229,826,11,28,0,0,871,529,14,18,0,0,556,1040,27,27,5,0,1099,19480,691,523,25,16,20734
CED316,760,42,13,0,0,820,472,33,10,0,0,516,422,31,17,0,4,472,847,31,20,9,3,910,1353,58,29,0,4,1449,3974,105,54,16,7,4151,3328,44,25,6,4,3409,2341,25,20,5,6,2402,663,10,7,5,0,680,444,0,8,0,0,450,284,8,5,4,3,299,957,21,6,4,4,985,15847,409,217,46,33,16549
CED317,780,12,0,6,22,828,427,9,0,3,0,449,436,16,3,4,3,467,873,17,16,10,0,911,1288,18,12,9,3,1327,3674,56,23,10,10,3778,3508,28,10,13,3,3558,2902,30,6,11,5,2950,927,5,0,3,6,940,578,4,0,0,0,588,424,0,4,10,6,445,1112,13,7,9,8,1149,16929,213,83,92,65,17383
CED318,716,58,75,6,3,856,249,25,61,4,5,340,264,57,73,4,7,392,548,117,194,4,0,865,844,130,238,3,3,1221,2769,283,366,12,6,3436,3720,154,215,5,9,4105,3805,90,122,11,9,4036,1352,30,36,0,0,1422,978,12,23,0,0,1019,575,9,24,4,3,626,954,59,91,6,5,1111,16775,1020,1517,67,46,19425
CED319,732,68,58,0,0,858,244,29,19,0,0,295,211,29,34,0,0,269,344,65,70,0,0,476,498,90,140,0,0,727,1530,475,495,0,0,2502,2370,607,473,0,0,3452,4754,421,314,0,0,5492,2906,126,68,0,3,3101,2204,59,46,3,0,2309,1157,34,33,0,0,1219,878,91,79,0,0,1048,17821,2090,1823,3,5,21747
CED320,846,39,12,0,0,900,397,22,4,0,0,419,308,21,3,0,0,337,633,49,10,8,0,700,920,69,13,4,0,1006,3558,182,30,4,8,3773,5347,119,24,0,4,5493,5837,66,18,3,6,5936,2160,26,4,3,6,2196,1222,11,4,0,0,1241,553,12,3,0,0,575,1374,37,7,4,0,1423,23160,647,134,31,24,23998
CED321,1083,19,3,11,11,1131,505,19,0,3,0,527,627,18,0,0,0,655,1231,14,3,10,3,1260,1590,22,0,6,5,1624,3351,27,6,13,5,3403,2331,15,0,5,3,2356,1671,5,0,8,4,1686,511,0,0,11,0,520,438,0,0,0,3,445,408,5,0,10,5,429,962,11,0,5,9,990,14719,141,30,83,52,15029
CED322,639,170,108,3,0,922,233,90,36,0,0,354,179,68,27,0,0,282,281,145,67,0,0,494,426,208,137,0,0,770,1220,769,402,3,0,2393,1680,1152,518,4,5,3355,3553,1137,483,0,5,5183,2484,326,154,0,4,2969,2137,223,127,0,0,2488,1166,114,91,0,0,1368,1041,292,135,0,0,1474,15051,4700,2273,13,17,22047
CED323,619,135,267,3,4,1034,199,80,95,0,0,372,155,64,80,0,0,302,290,107,173,0,0,576,373,200,318,0,4,900,1101,691,938,5,6,2737,1709,714,935,0,3,3365,3124,639,824,11,3,4605,1626,206,284,0,3,2123,1413,209,245,0,5,1867,1240,151,192,0,6,1593,909,222,307,0,5,1437,12760,3424,4655,26,37,20898
CED324,838,82,42,0,0,963,237,33,17,0,0,286,196,26,26,0,0,249,318,64,53,0,0,436,455,122,81,0,0,660,1491,552,300,0,3,2352,2014,566,340,0,0,2916,3647,466,191,0,0,4300,2274,142,75,0,0,2487,2099,80,45,5,0,2230,1497,45,32,4,0,1583,982,115,61,0,0,1147,16049,2298,1253,8,6,19615
CED325,941,27,5,0,0,979,343,17,0,0,0,356,315,19,0,0,0,334,550,44,4,0,0,600,846,102,8,0,0,954,3425,278,18,0,3,3723,4765,247,7,0,0,5024,5821,158,11,0,0,5988,2358,37,0,0,0,2393,1583,27,4,0,0,1613,834,16,0,0,0,856,1190,51,4,0,0,1246,22964,1017,55,3,6,24054
