CED_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED126,167,265,561,565,668,495,173,37,0,2933,140,262,604,859,886,657,188,62,14,3674,4375,6489,12083,16431,19446,13961,4526,760,50,78113
CED127,176,261,586,604,617,482,152,22,0,2900,146,254,500,580,575,450,168,44,5,2728,4113,5740,12459,14088,16053,12812,3880,480,40,69656
CED128,77,202,484,470,518,394,108,10,0,2275,139,406,998,869,749,556,147,25,4,3891,2938,6293,14212,13592,12180,9633,2230,150,16,61251
CED129,144,296,485,622,686,406,162,25,0,2826,109,309,728,1237,916,506,174,34,4,4008,4597,7922,15906,26251,21679,13069,3888,439,27,93781
CED130,199,254,568,489,461,419,144,28,3,2573,218,234,475,433,471,431,186,108,30,2597,4658,5526,13258,13046,13833,12691,4773,991,124,68894
CED131,145,354,711,565,511,360,114,12,0,2772,127,364,739,562,506,349,93,26,6,2771,5071,10554,21361,17736,16039,11493,2737,332,26,85350
CED132,73,184,552,523,461,341,111,27,0,2277,66,231,976,1006,685,485,187,52,7,3691,2372,6213,22583,23626,18337,11946,4598,850,65,90576
CED133,164,248,572,482,591,479,144,19,0,2699,211,239,494,544,588,521,217,81,9,2906,4610,5155,11811,13151,15184,14279,4434,654,87,69368
CED134,183,288,555,433,419,434,160,25,3,2489,201,227,572,465,476,470,212,102,14,2753,3852,5282,14717,12639,12753,12464,4533,907,124,67270
CED135,45,200,615,544,444,387,79,7,0,2320,87,538,1745,1380,687,527,117,24,7,5109,2218,8786,27897,24969,14083,9635,2394,254,22,90249
CED136,219,393,902,653,581,452,117,13,0,3342,175,340,745,646,603,447,127,40,9,3142,5208,7331,17486,16481,15943,12213,2744,316,33,77758
CED137,47,197,737,587,526,445,143,13,0,2691,75,604,2038,1330,792,558,160,34,11,5605,2378,10637,32690,23598,16934,12314,3761,490,51,102861
CED138,124,233,537,610,565,440,136,21,0,2674,222,247,755,831,657,503,212,60,18,3517,4560,5040,12504,15326,16100,13978,4452,522,62,72542
CED139,233,362,641,527,501,452,166,28,4,2902,230,306,584,523,510,446,204,97,29,2921,5190,6887,14602,13794,14058,12838,4523,897,129,72911
CED140,109,222,431,568,534,457,128,13,0,2468,125,228,515,574,614,407,166,53,8,2679,4215,5641,11849,14446,15365,12423,3398,460,41,67844
CED141,165,292,570,533,564,419,124,25,0,2702,128,224,469,528,505,350,109,33,11,2355,4653,6135,13085,14637,15232,11652,2569,307,20,68288
CED142,44,270,1145,772,465,291,88,9,0,3081,66,636,2566,1349,609,381,112,27,0,5750,1761,11988,49988,29640,15780,9802,3011,422,28,122423
CED143,97,206,532,473,450,348,101,15,3,2231,112,246,917,940,833,465,143,49,4,3711,3202,5751,17010,18508,18777,12446,4102,775,75,80638
CED144,71,216,527,564,538,426,112,15,0,2483,83,405,1175,912,765,539,139,12,0,4039,2368,6943,17466,15050,12991,9417,2202,189,14,66647
CED145,58,144,652,455,360,254,105,21,0,2050,70,267,1419,1012,730,431,180,84,19,4207,1653,5203,24341,18584,14998,9970,4472,1039,122,80383
CED146,91,223,552,544,528,366,89,6,0,2420,189,459,1018,1083,934,637,117,13,8,4452,3785,8014,16970,17994,15617,10883,2188,158,14,75612
CED147,195,332,668,584,593,442,104,14,6,2929,176,257,635,534,582,471,166,54,4,2876,4894,6703,15329,15754,16053,12279,3258,464,39,74778
CED194,5,8,19,21,11,13,0,0,0,68,10,13,47,34,29,22,8,0,0,166,123,245,809,492,412,338,86,6,0,2511
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,82,310,668,641,764,593,163,16,3,3233,107,289,805,962,853,706,192,28,5,3942,4084,7322,16499,18322,17536,13869,3577,310,12,81521
CED202,122,284,582,498,484,394,132,12,0,2504,146,232,499,431,512,456,145,49,9,2480,4427,6350,14564,14564,15040,12195,3361,428,44,70971
CED203,112,228,586,529,491,462,149,13,0,2581,154,217,475,499,458,471,139,58,10,2478,4299,6039,14080,14308,14662,12502,3599,460,39,69986
CED204,84,318,722,703,695,541,146,16,0,3222,142,528,1318,1171,954,804,173,33,0,5127,3721,8188,18705,18036,16294,12600,3021,272,14,80845
CED205,60,298,759,679,513,339,68,4,0,2730,168,527,1415,1150,820,534,85,6,0,4720,3339,8226,21324,19488,12966,8722,1570,95,5,75741
