CED_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED223,67,56,170,221,290,615,1334,1764,1119,5638,10,14,62,54,84,102,102,65,47,537,568,572,1112,1215,1385,1632,1700,1362,751,10306,3614,7030,16270,17463,19879,23020,21404,11526,4239,124446
CED224,36,42,198,317,383,614,996,1426,990,4996,9,32,216,274,298,323,308,246,160,1857,219,262,860,837,670,665,764,790,561,5625,3138,8466,19723,23826,23386,18982,14563,8831,4123,125026
CED225,33,29,91,111,175,330,867,1534,1121,4301,11,25,88,108,117,173,166,146,153,989,218,282,692,696,633,616,715,610,372,4827,3066,8810,18946,22254,21975,19579,16365,9254,3868,124126
CED226,20,22,36,68,110,165,438,855,743,2452,0,20,60,59,104,121,130,146,150,799,262,341,773,621,683,596,639,632,510,5056,3627,12049,20853,19866,22909,20085,15745,9598,4985,129717
CED227,70,55,255,306,318,518,872,1027,485,3911,13,32,169,173,165,150,117,90,42,933,454,484,1300,1145,954,774,712,625,346,6793,3980,10061,26046,26688,20868,15581,11435,6380,2077,123114
CED228,80,130,435,500,580,866,1221,1113,477,5400,16,88,350,439,498,447,313,215,114,2476,633,886,2551,2132,1164,857,750,532,316,9811,4401,13096,35895,36377,21262,16767,11036,4822,1600,145258
CED229,26,17,93,105,125,180,409,690,452,2096,6,31,133,87,60,64,90,142,102,713,244,663,2538,1774,1275,1077,1018,820,675,10083,2194,11347,40585,28522,21457,17334,13418,6951,2860,144667
CED230,108,116,386,448,617,1120,2140,2730,1769,9440,15,66,211,191,238,220,173,149,80,1343,717,644,1603,1570,1711,2047,2195,1802,1131,13433,3829,8213,19534,17785,20295,24213,21607,12689,5462,133619
CED231,21,23,130,175,248,547,1530,2503,1386,6571,3,18,107,92,152,212,337,530,337,1794,223,394,1167,902,822,717,738,772,445,6171,2825,9551,23950,22506,20777,17346,13950,8848,3852,123613
CED232,38,37,141,191,247,430,938,995,481,3502,11,18,68,83,76,75,100,83,33,536,454,326,928,982,900,864,749,542,258,6005,3720,8499,20532,24029,21569,17600,13311,6201,1750,117215
CED233,7,47,225,191,272,393,550,741,544,2971,5,81,324,186,192,248,236,223,182,1676,502,1954,4639,2247,1335,1119,829,517,239,13383,5165,27933,67286,31156,17954,14289,10210,5081,2005,181070
CED234,16,36,100,148,248,485,1296,2262,1548,6139,6,32,144,136,142,272,324,398,313,1777,230,343,838,782,742,672,762,902,752,6016,3355,10746,20587,23230,23387,21160,16753,12548,5772,137530
CED235,88,56,211,243,326,667,1413,1829,1144,5976,10,27,53,44,80,81,73,112,63,536,428,369,1017,1148,1199,1486,1668,1314,647,9265,3077,6365,15496,15747,17707,21502,21394,11365,3988,116650
CED236,96,89,382,457,527,960,1954,2268,1250,7975,14,38,152,207,234,198,155,164,87,1253,635,607,1502,1367,1503,1692,1755,1602,1029,11697,3798,8270,18350,17509,19930,21827,19767,11582,4476,125506
CED237,36,56,261,474,659,1237,2844,2750,1164,9474,9,57,203,283,367,562,711,738,436,3355,400,600,1382,1182,878,780,782,763,564,7325,3685,11297,26405,26368,20872,18194,13603,7439,2923,130796
CED238,78,66,229,270,347,691,1565,2113,1369,6723,0,22,96,79,76,107,81,56,37,554,551,473,1168,1214,1377,1507,1698,1366,815,10161,3516,7063,16741,16770,19690,22890,21141,11329,4554,123683
CED239,20,35,116,219,306,649,1526,2752,1965,7590,5,38,116,120,183,304,458,699,478,2402,263,533,1720,1143,793,681,684,666,656,7153,2550,11645,34247,26236,18987,14636,9843,7075,4485,129695
CED294,13,18,33,35,36,25,38,26,9,227,5,4,9,11,12,10,3,0,0,51,173,211,691,870,646,408,202,34,13,3248,370,669,1819,1736,1393,1074,613,150,29,7852
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,15,0,0,0,29,0,0,6,16,3,14,4,0,0,38
