region_id,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_199_Family_households,HI_1_199_Non_family_hseholds,HI_1_199_Tot,HI_200_299_Family_households,HI_200_299_Non_fam_househlds,HI_200_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_599_Family_households,HI_400_599_Non_fam_househlds,HI_400_599_Tot,HI_600_799_Family_households,HI_600_799_Non_fam_househlds,HI_600_799_Tot,HI_800_999_Family_households,HI_800_999_Non_fam_househlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1999_Fam_households,HI_1500_1999_Non_fam_hsehlds,HI_1500_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
CED401,420,1051,1471,413,802,1215,233,1975,2208,462,4027,4489,2343,2862,5205,2467,2388,4855,2332,2008,4340,2471,2156,4627,2441,1668,4109,4209,2090,6299,3822,457,4279,3358,1498,4856,2887,164,3051,1353,90,1443,2378,80,2458,3294,889,4183,485,923,1408,35368,25128,60496
CED402,335,351,686,603,551,1154,351,1807,2158,705,4584,5289,4818,2729,7547,4404,2174,6578,4227,1521,5748,3935,1170,5105,3862,681,4543,5291,598,5889,3588,100,3688,1707,286,1993,1044,20,1064,321,11,332,532,13,545,3643,228,3871,819,899,1718,40185,17723,57908
CED403,223,296,519,274,444,718,135,1273,1408,358,3265,3623,2412,2663,5075,2745,1794,4539,2831,1498,4329,2680,1351,4031,2725,948,3673,4572,1074,5646,4317,196,4513,3436,586,4022,2654,55,2709,1167,22,1189,1633,14,1647,3529,359,3888,417,638,1055,36108,16476,52584
CED404,319,346,665,564,578,1142,347,2075,2422,763,4813,5576,5057,2519,7576,3970,1919,5889,3643,1228,4871,2985,1236,4221,2998,910,3908,4439,851,5290,3166,122,3288,2012,531,2543,1350,45,1395,481,17,498,653,26,679,3874,237,4111,905,1064,1969,37526,18517,56043
CED405,291,471,762,394,557,951,235,1748,1983,448,4439,4887,3061,3168,6229,3044,2474,5518,3046,2011,5057,2895,1862,4757,2834,1239,4073,4642,1439,6081,4196,313,4509,2806,769,3575,2233,82,2315,908,36,944,1208,54,1262,3205,561,3766,502,891,1393,35948,22114,58062
CED406,196,259,455,388,400,788,262,1382,1644,642,3389,4031,4139,2217,6356,4117,1803,5920,3851,1566,5417,4019,1291,5310,4007,849,4856,6307,746,7053,4739,142,4881,2340,256,2596,1306,23,1329,464,11,475,464,5,469,3735,267,4002,606,624,1230,41582,15230,56812
CED407,172,211,383,339,274,613,182,999,1181,406,2764,3170,3432,1719,5151,3366,1469,4835,3327,1351,4678,3381,1214,4595,3375,722,4097,5729,735,6464,4565,166,4731,2529,256,2785,1533,29,1562,628,12,640,651,7,658,3222,184,3406,506,492,998,37343,12604,49947
CED408,249,241,490,418,372,790,206,1038,1244,432,2835,3267,3455,2229,5684,3534,1518,5052,3594,1097,4691,3409,988,4397,3309,666,3975,5259,673,5932,4186,89,4275,3016,341,3357,1919,30,1949,803,6,809,1118,9,1127,3997,184,4181,556,479,1035,39460,12795,52255
CED409,298,430,728,536,550,1086,370,1877,2247,800,4620,5420,4301,2349,6650,3960,2153,6113,3652,1717,5369,3913,1705,5618,3610,1074,4684,5797,1056,6853,4607,244,4851,2467,428,2895,1487,56,1543,596,29,625,630,16,646,3707,363,4070,807,907,1714,41538,19574,61112
CED410,375,417,792,475,489,964,206,1462,1668,401,3611,4012,3029,2556,5585,3063,1992,5055,3217,1578,4795,2924,1472,4396,2798,1136,3934,4737,1189,5926,4159,189,4348,3234,685,3919,2491,48,2539,1098,25,1123,1652,19,1671,3362,330,3692,576,710,1286,37797,17908,55705
CED411,238,270,508,513,473,986,400,1844,2244,863,4046,4909,4978,2216,7194,4436,2114,6550,3951,1577,5528,4206,1288,5494,3723,680,4403,5825,627,6452,3907,116,4023,1893,234,2127,1118,17,1135,363,4,367,428,4,432,3810,246,4056,847,862,1709,41499,16618,58117
CED494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
