region_id,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_school_quals_Cert_Level_M,Non_school_quals_Cert_Level_F,Non_school_quals_Cert_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
CED143,80164,75077,155241,39739,29086,68825,9747,13384,23131,2137,2495,4632,3091,2718,5809,54714,47683,102397,15088,19356,34444,5.6,5.7,5.7,68.3,63.5,66.0,64.4,59.9,62.2,8651,8445,17096,1617,2172,3789,21110,21618,42728,6700,7060,13760,7840,4682,12522,56004,52821,108825,20022,20191,40213,27302,26195,53497,45385,43744,89129
CED144,51695,55543,107238,22462,10764,33226,5291,12670,17961,1870,1768,3638,2112,1844,3956,31735,27046,58781,17482,26061,43543,6.7,6.8,6.7,61.4,48.7,54.8,57.3,45.4,51.1,963,864,1827,379,715,1094,3299,4529,7828,3185,4622,7807,15795,8880,24675,54473,57377,111850,7243,7881,15124,38851,40716,79567,18988,20833,39821
CED145,56948,62615,119563,31382,20304,51686,7106,14570,21676,1716,2229,3945,1489,1368,2857,41693,38471,80164,11487,20447,31934,3.6,3.6,3.6,73.2,61.4,67.0,70.6,59.3,64.7,5559,4911,10470,1176,1966,3142,15255,16760,32015,5421,8161,13582,8627,5126,13753,53371,57683,111054,12110,13135,25245,31833,35132,66965,29270,31421,60691
CED146,63651,64764,128415,24784,14171,38955,8888,10774,19662,2417,1999,4416,3172,2519,5691,39261,29463,68724,19711,30769,50480,8.1,8.5,8.3,61.7,45.5,53.5,56.7,41.6,49.1,3494,2642,6136,514,654,1168,8586,9167,17753,4725,5548,10273,9474,5642,15116,65188,66155,131343,9488,9124,18612,43624,45089,88713,25507,24995,50502
CED147,66444,68862,135306,35077,24983,60060,7656,13266,20922,1867,2308,4175,1880,1656,3536,46480,42213,88693,11798,19085,30883,4.0,3.9,4.0,70.0,61.3,65.5,67.1,58.9,62.9,7147,6244,13391,1356,2059,3415,19268,20703,39971,5289,7304,12593,7044,4232,11276,52905,55080,107985,14486,15207,29693,29965,31846,61811,33690,34834,68524
CED148,55298,58513,113811,27763,16083,43846,5385,10835,16220,2075,1980,4055,2535,2363,4898,37758,31261,69019,14337,23755,38092,6.7,7.6,7.1,68.3,53.4,60.6,63.7,49.4,56.3,1487,1335,2822,316,501,817,4818,6322,11140,3690,4864,8554,13270,7734,21004,60453,62322,122775,7822,8196,16018,42026,43003,85029,21186,22518,43704
CED194,6956,4781,11737,1523,761,2284,472,530,1002,214,155,369,643,421,1064,2852,1867,4719,2238,2148,4386,22.5,22.5,22.5,41.0,39.1,40.2,31.8,30.3,31.1,162,181,343,46,67,113,600,683,1283,297,349,646,1222,579,1801,1331,812,2143,4161,3581,7742,876,478,1354,4325,3695,8020
CED197,52,56,108,15,4,19,3,3,6,4,4,8,0,0,0,22,11,33,26,38,64,0,0,0,41.5,19.6,30.3,41.5,19.6,30.3,0,0,0,0,0,0,3,3,6,3,5,8,22,7,29,45,47,92,9,5,14,33,36,69,22,16,38
CED201,51438,54602,106040,27864,14717,42581,6248,15039,21287,1716,1896,3612,1671,1526,3197,37499,33178,70677,12508,19966,32474,4.5,4.6,4.5,72.9,60.8,66.7,69.7,58.0,63.6,2094,1624,3718,799,1190,1989,7464,8569,16033,4605,5673,10278,12421,6266,18687,56135,58338,114473,5620,5919,11539,41891,43636,85527,16431,17489,33920
CED202,54398,59126,113524,25503,12780,38283,6331,15669,22000,1924,2185,4109,1992,1771,3763,35750,32405,68155,15809,23849,39658,5.6,5.5,5.5,65.7,54.8,60.0,62.1,51.8,56.7,1333,1340,2673,963,1705,2668,4972,7281,12253,3551,5117,8668,14493,7974,22467,54669,57692,112361,10032,11235,21267,35876,37765,73641,24548,26928,51476
CED203,55029,59200,114229,24174,15479,39653,7156,13034,20190,1862,2104,3966,2178,2009,4187,35370,32626,67996,15753,23070,38823,6.2,6.2,6.2,64.3,55.1,59.5,60.3,51.7,55.9,3422,3559,6981,1208,2448,3656,9340,11554,20894,4136,4726,8862,8436,4724,13160,52149,55279,107428,9360,10279,19639,35043,37874,72917,22468,23976,46444
