region_id,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_u_ap_I_1or2_sty_blk_Ds,OPDs_F_u_ap_I_1or2_sty_blk_Ps,OPDs_F_u_ap_I_3_sty_blk_Dwgs,OPDs_F_u_ap_I_3_sty_blk_Psns,OPDs_F_u_ap_I_4_m_sty_blk_Ds,OPDs_F_u_ap_I_4_m_sty_blk_Ps,OPDs_Flt_un_apt_Att_house_Ds,OPDs_Flt_un_apt_Att_house_Ps,OPDs_Flt_unit_apart_Tot_Dwgs,OPDs_Flt_unit_apart_Tot_Psns,OPDs_Oth_dw_Cvn_cab_hboat_Ds,OPDs_Oth_dw_Cvn_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
CED304,27217,74899,1025,1948,3480,7241,4505,9189,9076,14663,8007,13539,9656,17735,83,140,26822,46077,40,54,7,14,116,263,163,331,55,101,58762,130597,6000,0,64762,130597
CED305,44146,119624,1437,2508,403,752,1840,3260,2911,4953,169,280,120,207,25,31,3225,5471,816,1351,132,294,100,237,1048,1882,42,85,50301,130322,8027,0,58328,130322
CED306,43544,119483,1696,3225,742,1595,2438,4820,4028,6999,417,754,450,842,36,57,4931,8652,1128,1852,88,172,95,208,1311,2232,68,145,52292,135332,7299,0,59591,135332
CED307,41422,122445,2153,3737,1339,2717,3492,6454,1086,1814,3,0,54,56,53,110,1196,1980,202,277,14,33,20,34,236,344,38,99,46384,131322,2682,0,49066,131322
CED308,33665,96511,6326,13245,5187,12009,11513,25254,2891,5564,2096,3647,1867,3450,34,57,6888,12718,795,1175,3,8,26,61,824,1244,56,128,52946,135855,5782,0,58728,135855
CED309,37952,102608,3046,4982,2109,4266,5155,9248,3580,5944,970,1746,1211,2230,86,136,5847,10056,890,1367,35,93,50,116,975,1576,28,66,49957,123554,6294,0,56251,123554
CED310,35944,95867,3226,5320,1505,2994,4731,8314,1908,3208,1297,2318,2483,4609,69,113,5757,10248,849,1274,38,79,70,174,957,1527,20,37,47409,115993,7273,0,54682,115993
CED311,45598,125074,712,1404,304,657,1016,2061,2060,3744,77,104,119,193,32,59,2288,4100,1346,2222,218,422,127,278,1691,2922,68,166,50661,134323,9602,0,60263,134323
CED312,41734,124042,2106,4169,2740,6408,4846,10577,789,1376,64,102,26,48,41,82,920,1608,396,523,10,28,13,28,419,579,15,28,47934,136834,3233,0,51167,136834
CED313,31319,85839,1265,2416,5127,10601,6392,13017,7691,13348,5327,9220,5183,9544,76,140,18277,32252,37,67,4,12,72,152,113,231,31,52,56132,131391,5006,0,61138,131391
