region_id,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
CED302,13877,27714,286,1607,1740,7997,404,1827,9901,38595,12331,50026,946,3971,1641,5687,2976,9388,5563,19046,17894,69072,61,279,361,1240,190,670,2312,6152,2924,8341,253,801,653,1471,2149,4678,3055,6950,5979,15291,759,1595,38509,113672
CED303,14876,29568,316,1708,1805,8175,629,2834,9213,36262,11963,48979,1064,4422,1560,5235,3460,10903,6084,20560,18047,69539,82,386,421,1492,245,878,2376,6378,3124,9134,262,836,543,1217,1849,3991,2654,6044,5778,15178,424,877,39125,115162
CED304,15270,29927,99,535,1104,5019,133,567,8157,30887,9493,37008,521,2175,1203,4155,1399,4342,3123,10672,12616,47680,23,88,227,749,67,223,1490,3497,1807,4557,157,490,627,1393,1434,3019,2218,4902,4025,9459,1324,2747,33235,89813
CED305,15096,29265,333,1794,1545,7079,757,3448,9920,39044,12555,51365,641,2556,908,2801,2797,8521,4346,13878,16901,65243,64,285,345,1255,240,870,2658,7296,3307,9706,169,513,343,726,1757,3752,2269,4991,5576,14697,512,1074,38085,110279
CED306,15977,30985,310,1675,1597,7215,735,3295,10184,39389,12826,51574,677,2655,1071,3331,3112,9502,4860,15488,17686,67062,71,341,330,1238,296,1085,2632,7143,3329,9807,153,477,363,782,1711,3616,2227,4875,5556,14682,532,1098,39751,113827
CED307,13376,26595,345,1926,2021,9305,554,2520,10793,42581,13713,56332,1074,4422,1495,5084,3271,10385,5840,19891,19553,76223,66,298,386,1320,205,679,2303,6183,2960,8480,230,710,513,1162,1658,3582,2401,5454,5361,13934,451,942,38741,117694
CED308,16254,32287,254,1416,1622,7335,547,2462,9742,37418,12165,48631,688,2827,1330,4372,2795,8785,4813,15984,16978,64615,83,380,418,1452,231,773,2929,7604,3661,10209,225,703,627,1396,2072,4372,2924,6471,6585,16680,596,1235,40413,114817
CED309,16020,31446,248,1366,1485,6681,467,2090,8570,33337,10770,43474,631,2511,1177,3738,2279,6980,4087,13229,14857,56703,62,262,436,1488,228,761,2603,6778,3329,9289,187,574,576,1239,1648,3431,2411,5244,5740,14533,408,834,37025,103516
CED310,16074,31635,194,1039,1358,6125,465,2036,7621,29610,9638,38810,547,2167,1019,3225,2116,6377,3682,11769,13320,50579,62,256,407,1396,221,761,2444,6451,3134,8864,157,483,551,1192,1529,3200,2237,4875,5371,13739,419,866,35184,96819
CED311,15924,31204,343,1868,1584,7227,803,3660,10753,42738,13483,55493,558,2219,883,2653,2891,8865,4332,13737,17815,69230,63,283,334,1238,237,897,2379,6642,3013,9060,102,318,311,649,1416,2968,1829,3935,4842,12995,445,931,39026,114360
CED312,13440,26889,397,2240,1700,8047,773,3620,10207,40384,13077,54291,865,3639,1246,4154,3286,10463,5397,18256,18474,72547,101,477,509,1846,393,1475,3419,9540,4422,13338,249,791,523,1178,1980,4332,2752,6301,7174,19639,527,1108,39615,120183
CED313,14855,29305,126,696,1188,5475,204,916,8920,33770,10438,40857,579,2411,1241,4274,1697,5352,3517,12037,13955,52894,34,178,316,1027,117,393,1884,4576,2351,6174,184,589,694,1549,1704,3611,2582,5749,4933,11923,1191,2473,34934,96595
CED314,14839,29163,324,1858,1633,7696,530,2433,8956,35938,11443,47925,588,2375,1134,3588,2405,7357,4127,13320,15570,61245,99,452,435,1584,251,897,2791,7714,3576,10647,159,502,451,978,1625,3477,2235,4957,5811,15604,556,1136,36776,107148
CED315,14371,27852,265,1501,1547,7172,629,2950,9724,37428,12165,49051,605,2436,1185,3842,2372,7321,4162,13599,16327,62650,108,529,506,1831,352,1381,3280,8973,4246,12714,193,599,617,1356,1827,3969,2637,5924,6883,18638,738,1583,38319,110723
CED316,18080,35637,237,1325,1314,6178,541,2468,7089,27994,9181,37965,398,1597,871,2724,2264,6926,3533,11247,12714,49212,92,429,440,1595,322,1160,3302,9352,4156,12536,168,530,511,1092,1801,3816,2480,5438,6636,17974,386,792,37816,103615
CED317,16561,32499,309,1722,1570,7256,798,3958,9416,37852,12093,50788,542,2148,906,2741,2607,8023,4055,12912,16148,63700,97,452,392,1442,402,1629,3284,9566,4175,13089,127,397,390,812,1770,3830,2287,5039,6462,18128,568,1235,39739,115562
CED318,15442,30125,303,1809,1417,6604,742,3705,10374,40382,12836,52500,470,1900,1057,3281,2151,6660,3678,11841,16514,64341,114,578,571,2031,428,1759,4296,11898,5409,16266,179,562,579,1232,1984,4370,2742,6164,8151,22430,748,1657,40855,118553
CED319,15132,30096,247,1406,1409,6476,379,1688,9456,36274,11491,45844,819,3445,1344,4593,2750,8707,4913,16745,16404,62589,66,306,402,1420,208,715,2462,6377,3138,8818,236,774,607,1363,2501,5308,3344,7445,6482,16263,937,1962,38955,110910
CED320,15379,30566,372,2092,1647,7732,680,3124,9024,36113,11723,49061,731,3020,1054,3503,2999,9428,4784,15951,16507,65012,103,479,525,1913,351,1247,3361,9440,4340,13079,203,631,484,1065,1812,3914,2499,5610,6839,18689,421,871,39146,115138
CED321,17277,33885,284,1534,1538,7014,673,3033,9574,38698,12069,50279,417,1611,828,2421,2359,7113,3604,11145,15673,61424,62,306,347,1284,257,944,2754,7826,3420,10360,108,316,370,781,1576,3288,2054,4385,5474,14745,487,1035,38911,111089
CED322,15041,29750,230,1234,1418,6438,460,2047,8708,33304,10816,43023,697,2863,1322,4327,2698,8373,4717,15563,15533,58586,75,331,552,1909,247,820,2847,7369,3721,10429,268,829,760,1693,2240,4716,3268,7238,6989,17667,604,1256,38167,107259
CED323,16583,32852,171,918,1127,5124,413,1773,7323,27491,9034,35306,508,2065,1179,3898,2352,7286,4039,13249,13073,48555,44,196,403,1347,199,683,2625,6559,3271,8785,220,679,739,1617,2360,4982,3319,7278,6590,16063,761,1554,37007,99024
CED324,13551,27179,242,1378,1668,7801,330,1546,9436,36490,11676,47215,937,3953,1788,6167,2785,8791,5510,18911,17186,66126,56,290,356,1286,162,575,2015,5306,2589,7457,297,973,703,1644,2051,4483,3051,7100,5640,14557,1069,2280,37446,110142
CED325,11707,23440,380,2258,1921,9191,671,3287,10713,42312,13685,57048,909,3889,1473,4979,2871,9181,5253,18049,18938,75097,113,570,543,2059,327,1236,3235,9086,4218,12951,275,915,582,1335,2048,4520,2905,6770,7123,19721,628,1349,38396,119607
CED326,14793,29410,299,1661,1489,6909,568,2577,9083,35375,11439,46522,698,2846,1137,3795,2855,8996,4690,15637,16129,62159,88,412,435,1560,295,1052,3140,8532,3958,11556,229,741,600,1307,2170,4609,2999,6657,6957,18213,587,1231,38466,111013
CED327,13746,27660,494,3003,1992,9872,910,4380,11610,46403,15006,63658,1069,4545,1477,4961,3750,12033,6296,21539,21302,85197,171,843,628,2385,452,1707,3985,11321,5236,16256,323,1066,708,1620,2716,5953,3747,8639,8983,24895,817,1747,44848,139499
CED328,14126,27819,235,1240,1985,9063,272,1187,9926,38774,12418,50264,987,4064,2209,7600,2492,7665,5688,19329,18106,69593,46,190,343,1158,115,400,1518,3954,2022,5702,226,712,702,1600,1505,3185,2433,5497,4455,11199,1099,2292,37786,110903
CED329,17729,34785,247,1422,1367,6297,515,2305,7591,30067,9720,40091,469,1829,949,2963,2285,6900,3703,11692,13423,51783,76,352,516,1806,294,1073,2950,8070,3836,11301,157,488,533,1121,1696,3548,2386,5157,6222,16458,429,884,37803,103910
CED330,14716,29215,379,2177,1910,8989,813,3750,9695,39082,12797,53998,783,3263,1206,3961,3116,9779,5105,17003,17902,71001,80,384,401,1444,226,814,2303,6385,3010,9027,163,516,368,799,1465,3149,1996,4464,5006,13491,343,721,37967,114428
CED394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED401,14643,28904,191,1062,1378,6258,197,857,8453,31774,10219,39951,708,2884,1543,5326,2112,6611,4363,14821,14582,54772,49,232,363,1261,129,420,1958,4895,2499,6808,232,732,760,1671,1963,4139,2955,6542,5454,13350,1167,2455,35846,99481
