State;Division;Enrolment;Formal Vote;Informal Vote;Total Vote;Formal Pc;Formal Swing;Informal Pc;Informal Swing;Turnout;Turnout Swing;ALP TPP Vote;Coalition TPP Vote;TPP Exhausted;ALP TPP Pc;ALP Swing
WA;O'Connor;83118;74515;4693;79208;94.08;-1.19;5.92;1.19;95.30;-0.03;23031;51484;0;30.91;-2.52
WA;Pearce;77880;70281;3682;73963;95.02;-1.22;4.98;1.22;94.97;-0.28;30302;39979;0;43.12;-1.70
WA;Perth;82049;73913;3907;77820;94.98;-1.18;5.02;1.18;94.85;0.52;45239;28674;0;61.21;-1.33
WA;Stirling;85975;77051;4395;81446;94.60;-0.37;5.40;0.37;94.73;-0.54;39740;37311;0;51.58;-0.58
WA;Swan;78991;70803;3628;74431;95.13;-0.58;4.87;0.58;94.23;-0.82;36844;33959;0;52.04;-0.72
WA;Tangney;82972;75981;3200;79181;95.96;-0.93;4.04;0.93;95.43;-0.27;31934;44047;0;42.03;-0.93
SA;Adelaide;86538;77513;4156;81669;94.91;-0.70;5.09;0.70;94.37;-0.04;38585;38928;0;49.78;0.43
SA;Barker;87836;79907;4653;84560;94.50;-0.42;5.50;0.42;96.27;-0.25;27416;52491;0;34.31;-1.65
SA;Bonython;85484;75612;5984;81596;92.67;-1.87;7.33;1.87;95.45;-0.24;45688;29924;0;60.42;-2.88
SA;Boothby;89617;81915;3880;85795;95.48;-1.49;4.52;1.49;95.74;-0.07;34933;46982;0;42.65;0.25
SA;Grey;85745;77408;3708;81116;95.43;-0.31;4.57;0.31;94.60;-0.03;30532;46876;0;39.44;-1.53
SA;Hindmarsh;84806;76283;4677;80960;94.22;-1.21;5.78;1.21;95.46;-0.17;36719;39564;0;48.14;-0.64
SA;Kingston;85398;77490;4511;82001;94.50;-0.81;5.50;0.81;96.02;-0.20;40618;36872;0;52.42;0.54
SA;Makin;88248;80490;4420;84910;94.79;-0.92;5.21;0.92;96.22;-0.09;37219;43271;0;46.24;-2.98
SA;Mayo;86319;78202;4544;82746;94.51;-1.59;5.49;1.59;95.86;-0.05;29040;49162;0;37.13;-3.32
SA;Port Adelaide;86297;76384;5627;82011;93.14;-1.25;6.86;1.25;95.03;-0.59;49379;27005;0;64.65;-1.07
SA;Sturt;86359;77878;4322;82200;94.74;-0.86;5.26;0.86;95.18;-0.02;32568;45310;0;41.82;-0.46
SA;Wakefield;86378;78625;4558;83183;94.52;-0.57;5.48;0.57;96.30;0.43;27861;50764;0;35.44;2.08
TAS;Bass;65927;60691;2706;63397;95.73;-0.88;4.27;0.88;96.16;0.16;31598;29093;0;52.06;1.88
TAS;Braddon;67749;63164;2178;65342;96.67;0.26;3.33;-0.26;96.45;-0.09;35345;27819;0;55.96;1.67
TAS;Denison;67938;63073;1889;64962;97.09;-0.38;2.91;0.38;95.62;0.24;40530;22543;0;64.26;-0.25
TAS;Franklin;67119;62697;1937;64634;97.00;-0.21;3.00;0.21;96.30;0.24;36390;26307;0;58.04;1.44
TAS;Lyons;62942;58393;2146;60539;96.46;-0.38;3.54;0.38;96.18;-0.44;33970;24423;0;58.17;-2.94
ACT;Canberra;108959;100328;3542;103870;96.59;-0.58;3.41;0.58;95.33;-0.58;59632;40696;0;59.44;-0.62
ACT;Fraser;112225;102338;3844;106182;96.38;-0.72;3.62;0.72;94.62;-0.77;64154;38184;0;62.69;-2.17
NT;Lingiari;57077;43733;2240;45973;95.13;-0.10;4.87;0.10;80.55;;24182;19551;0;55.29;1.77
NT;Solomon;53945;47428;2196;49624;95.57;-0.85;4.43;0.85;91.99;;23670;23758;0;49.91;2.15
