CED_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
CED323,494,728,1229,204,263,470,283,1006,1292,262,1586,1846,1048,3334,4378,1207,2114,3320,2943,1974,4914,2560,2205,4771,3527,2261,5787,3406,1520,4925,2568,1183,3755,2617,869,3489,4753,1174,5923,3056,286,3346,1871,139,2010,1212,581,1797,2789,143,2933,3493,921,4412,567,1021,1586,38855,23329,62189
CED324,464,585,1047,205,228,427,320,627,940,242,905,1147,809,1894,2700,855,1193,2047,1989,1001,2990,1964,1218,3184,2866,1353,4217,2779,1106,3889,2353,951,3299,2369,694,3062,4820,1041,5856,3615,292,3908,2555,154,2706,1931,320,2253,4079,122,4201,3475,742,4211,371,480,847,38056,14893,52950
CED325,376,281,653,164,126,289,339,482,814,308,743,1051,956,1630,2586,1112,856,1962,2374,810,3179,2343,1033,3374,3149,1111,4253,3378,803,4181,2815,679,3491,2738,407,3139,5637,582,6219,3824,128,3952,2467,51,2515,1561,169,1731,2717,34,2751,3710,312,4021,493,432,927,40446,10659,51109
CED326,299,320,620,171,156,325,239,705,944,256,1330,1589,996,3131,4124,1157,1799,2959,3244,1303,4542,2739,1468,4208,3578,1478,5058,3619,999,4615,3108,817,3922,3108,532,3633,5885,686,6574,3873,125,4000,2447,67,2509,1441,235,1681,2466,47,2510,3805,324,4129,607,797,1408,43023,16328,59353
CED327,488,333,820,224,119,345,382,543,928,373,810,1183,1156,1868,3024,1348,931,2271,2974,992,3971,2935,1226,4166,3839,1258,5099,4045,933,4975,3323,627,3950,3179,443,3623,6144,530,6671,3929,139,4071,2189,61,2254,1399,134,1530,1922,46,1971,3940,387,4324,573,477,1048,44364,11860,56220
CED328,380,787,1165,150,216,363,213,597,806,173,677,852,514,1403,1910,619,1133,1756,1263,945,2204,1481,1154,2641,2187,1305,3492,2168,1128,3297,1954,1108,3059,2141,748,2893,4586,1260,5847,3772,276,4046,2956,163,3120,2598,601,3190,7282,141,7422,3853,789,4650,262,384,650,38535,14818,53354
CED329,355,399,755,234,223,454,354,1052,1405,343,1650,1994,1582,3938,5519,1581,1727,3305,4763,1296,6058,3409,1337,4742,4036,1201,5240,3581,716,4292,2455,521,2971,2300,330,2633,3538,383,3917,2088,63,2145,1182,29,1203,692,207,900,1303,32,1337,3711,316,4026,742,936,1679,38241,16343,54584
CED330,302,263,565,164,145,306,222,464,693,204,750,955,981,1963,2940,1035,956,1993,2915,806,3720,2373,955,3331,3200,883,4083,3342,574,3918,2781,427,3210,2890,287,3178,5376,354,5724,3645,67,3716,2240,39,2274,1355,121,1475,2341,42,2382,4063,269,4335,663,599,1258,40082,9959,50044
CED394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
