CED_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
CED112,14654,29306,347,1940,1645,7709,655,3019,8813,35085,11461,47752,962,3984,1217,4111,3548,11300,5725,19395,17189,67146,124,598,574,2053,372,1323,3235,9032,4305,13004,314,1017,686,1507,3048,6623,4049,9144,8356,22148,571,1198,40773,119794
CED113,17262,33957,245,1380,1682,7700,438,1992,8690,33892,11055,44958,710,2846,1327,4296,2823,8801,4862,15942,15915,60899,60,273,344,1176,177,600,2214,5938,2790,7990,175,551,509,1083,1887,3967,2577,5595,5364,13587,413,853,38951,109293
CED114,17984,35489,322,1762,1709,7942,532,2408,9170,36786,11722,48906,732,2967,1194,3722,2915,9089,4839,15777,16562,64674,76,370,458,1637,245,902,2794,7723,3585,10633,183,551,520,1091,2102,4431,2796,6078,6385,16707,524,1101,41453,117974
CED115,10091,20689,513,3099,2178,10721,635,3145,9024,36402,12347,53365,1634,7369,1855,6769,5347,18159,8835,32298,21186,85666,145,717,687,2647,362,1404,3106,8998,4303,13762,542,1877,1015,2475,3841,9061,5399,13407,9698,27172,996,2242,41968,135765
CED116,20188,39900,256,1411,1337,6175,479,2152,7045,27864,9108,37601,583,2356,1084,3494,2951,9117,4618,14962,13729,52569,83,367,434,1532,262,944,2597,7196,3374,10034,234,700,568,1205,2380,4994,3174,6906,6551,16945,436,913,40904,110331
CED117,15234,30076,81,403,1047,4638,153,639,10401,38180,11682,43864,527,2129,1227,4126,2111,6671,3867,12928,15546,56788,16,74,252,802,82,284,1664,3955,2012,5118,185,591,670,1471,2060,4420,2914,6486,4935,11601,881,1855,36592,100323
CED118,11709,23774,387,2204,2516,11774,632,2900,15303,59189,18842,76067,1438,6171,2102,7435,4306,14245,7849,27853,26692,103923,81,400,485,1788,224,798,2096,5746,2892,8732,337,1101,658,1557,2547,5746,3538,8405,6430,17134,650,1411,45485,146247
CED119,12382,24656,324,1784,2076,9397,473,2127,11354,44655,14223,57961,1511,6399,1830,6504,4628,15017,7971,27919,22193,85883,62,261,327,1117,128,450,1595,4225,2111,6054,333,1078,553,1283,2053,4524,2938,6884,5055,12942,442,922,40069,124402
CED120,14714,29345,439,2451,1824,8621,864,4035,10077,40325,13206,55432,1043,4390,1285,4328,4065,13060,6388,21786,19595,77217,99,454,453,1642,256,941,2241,6199,3051,9228,231,713,516,1160,2124,4569,2870,6446,5923,15679,421,900,40651,123133
CED121,16268,32280,306,1702,1686,7766,683,3064,9079,35794,11749,48326,883,3628,1152,3856,3696,11649,5735,19133,17479,67454,96,421,488,1785,320,1131,3304,9281,4200,12614,254,792,576,1261,2572,5553,3405,7603,7606,20213,510,1065,41868,121021
CED122,15304,30379,171,921,1554,6948,300,1326,10887,40722,12918,49925,959,3956,1641,5705,3295,10509,5893,20174,18811,70094,58,256,293,981,157,522,1913,4851,2416,6610,261,798,769,1752,2680,5806,3714,8360,6135,14968,1284,2718,41531,118163
CED123,13523,27298,452,2657,1862,9031,813,3863,11027,43518,14154,59071,1171,5113,1294,4516,4362,14373,6832,24003,20986,83071,137,676,542,1979,360,1266,3463,9727,4496,13651,337,1104,664,1523,3237,7205,4241,9836,8735,23489,692,1478,43934,135345
CED124,19975,39581,244,1360,1455,6759,478,2195,6550,26188,8727,36504,577,2328,1069,3488,2925,9010,4576,14826,13297,51331,80,390,489,1770,260,933,2608,7389,3445,10475,198,616,543,1164,2334,4958,3080,6737,6523,17215,445,930,40236,109062
CED125,12342,24957,533,3159,2003,9777,867,4235,10796,42990,14207,60163,1220,5368,1423,4933,4794,15822,7437,26132,21649,86290,183,870,603,2308,403,1564,3354,9685,4544,14436,388,1294,614,1419,3173,7057,4175,9774,8721,24204,646,1379,43350,136830
CED126,14228,28191,260,1353,1987,9006,382,1628,11246,43765,13868,55751,1285,5260,1896,6591,3666,11586,6851,23443,20721,79189,38,166,311,1025,110,355,1414,3650,1868,5200,290,920,575,1297,2027,4352,2892,6572,4757,11768,410,867,40120,120017
CED127,13973,27793,364,2053,1732,8101,594,2760,8756,34577,11438,47487,983,4112,1419,4782,3699,11888,6103,20788,17536,68271,69,298,428,1527,220,733,2133,5702,2846,8265,267,824,607,1344,2286,4886,3162,7056,6008,15320,406,852,37926,112239
CED128,11109,22581,617,3711,2146,10800,768,3759,10760,43707,14286,61980,1562,7055,1580,5692,5479,18658,8616,31400,22901,93378,167,870,520,2059,299,1122,2545,7349,3534,11404,406,1431,681,1656,3536,8343,4627,11426,8162,22826,862,1896,43028,140692
CED129,12182,24353,340,1922,2650,12042,460,2142,13210,52075,16665,68181,1712,7239,2484,8810,4697,15301,8887,31341,25552,99526,56,233,342,1191,115,381,1341,3577,1847,5382,264,860,580,1381,1835,4066,2675,6307,4524,11680,392,825,42647,136393
CED130,16912,33455,275,1524,1544,7005,492,2246,8188,32702,10499,43471,541,2113,1078,3363,2592,7888,4210,13367,14704,56839,99,464,502,1873,259,974,3155,8880,4016,12190,174,529,530,1109,2197,4676,2905,6319,6918,18508,580,1203,39116,110007
CED131,14717,29015,173,970,1475,6702,378,1683,9107,34968,11140,44319,727,2960,1351,4482,2771,8601,4853,16051,15990,60366,82,361,450,1546,211,772,2596,6789,3338,9464,247,790,774,1690,2618,5541,3643,8017,6980,17479,793,1633,38473,108495
CED132,17782,34939,89,461,1536,6840,143,616,12170,45107,13941,53024,859,3454,2165,7339,2315,7079,5342,17873,19281,70901,15,63,251,812,48,152,1552,3736,1863,4763,201,597,839,1837,1681,3545,2721,5981,4586,10742,816,1701,42463,118282
CED133,18590,36951,267,1494,1609,7597,533,2425,7554,30261,9961,41779,592,2396,1175,3772,3096,9554,4859,15723,14825,57507,111,522,565,2021,288,1082,3334,9237,4307,12863,272,854,712,1536,2623,5539,3614,7936,7917,20804,608,1277,41934,116538
CED134,15736,31111,252,1332,1421,6382,485,2203,8289,33220,10441,43140,517,2008,917,2690,2707,8441,4137,13139,14582,56278,100,505,499,1839,348,1353,3565,10464,4515,14159,181,552,471,988,2372,5146,3020,6689,7537,20840,684,1450,38534,109680
CED135,14517,29478,329,1942,1886,8841,413,1976,15722,58532,18345,71289,1195,5277,1916,6702,3678,12149,6792,24127,25134,95411,80,398,397,1456,167,590,2083,5605,2728,8050,338,1143,827,1881,2854,6341,4019,9364,6744,17414,1127,2478,47525,144777
CED136,16578,32932,319,1793,1674,7828,621,2819,9158,35941,11775,48385,811,3386,1175,3872,3532,11049,5519,18305,17292,66691,119,556,528,1920,314,1098,3342,9428,4300,12997,286,894,583,1243,2660,5668,3523,7811,7820,20808,582,1194,42279,121629
CED137,17596,35303,201,1092,1728,7781,239,1058,12035,44452,14195,54389,1258,5347,2161,7557,3810,12313,7225,25221,21426,79605,28,123,316,1078,102,311,1718,4300,2162,5814,260,846,944,2173,2533,5504,3740,8525,5899,14336,1196,2577,46117,131820
CED138,17493,34651,218,1151,1415,6453,410,1798,7938,30779,9983,40177,588,2397,1175,3796,2721,8415,4482,14605,14468,54783,75,335,518,1766,236,831,2844,7334,3671,10274,263,807,790,1725,2634,5537,3692,8067,7362,18340,498,1039,39823,108813
