CED_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
CED602,37069,39082,76148,1581,1732,3317,201,193,392,218,208,426,298,312,609,70,66,130,118,146,267,3023,3303,6322,22,22,43,9,12,18,4,3,7,3959,4263,8221,154,160,310,101,92,193,5797,6243,12043,3902,4007,7917,46768,49339,96110
CED603,37271,39647,76920,1097,1138,2232,267,302,567,409,433,842,289,287,570,81,75,161,143,154,296,4376,4665,9043,29,31,61,41,41,79,0,0,3,5629,5988,11616,885,1015,1897,122,93,209,7730,8232,15962,4257,4404,8655,49261,52274,101535
CED604,40162,42727,82885,1294,1373,2665,252,281,537,217,239,452,310,316,630,66,71,140,139,156,296,3331,3711,7037,48,52,108,29,28,59,0,0,0,4402,4861,9260,252,298,553,104,71,180,6053,6605,12660,4024,3714,7742,50238,53051,103290
CED605,41101,40758,81862,1628,1846,3470,228,235,455,235,235,470,296,341,636,69,57,132,157,139,300,2656,2903,5556,35,35,72,9,9,22,0,3,3,3689,3956,7641,121,146,268,101,108,213,5532,6059,11595,4535,4492,9029,51169,51311,102483
CED694,112,66,176,46,30,72,10,16,32,19,10,31,25,31,59,3,6,13,9,13,24,127,126,253,5,0,4,4,0,4,0,0,0,207,205,415,20,21,39,3,3,8,279,258,540,128,63,188,516,391,909
CED697,32,16,47,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,10,7,13,3,0,3,0,0,0,11,7,22,4,0,9,49,21,68
CED701,41307,39679,80991,1445,1491,2936,500,470,968,434,392,830,940,740,1681,335,316,648,403,347,749,37,37,74,2685,2636,5325,47,49,94,6,3,9,5391,4993,10382,504,588,1100,466,470,938,7807,7537,15352,10146,6507,16650,59257,53728,112988
CED702,36948,35078,72018,1344,1267,2608,694,653,1347,682,651,1334,1251,1171,2421,388,386,775,668,625,1290,52,44,98,6579,6506,13086,96,87,180,4,3,4,10411,10121,20533,1407,1532,2934,231,191,428,13393,13111,26505,7268,6508,13778,57607,54691,112302
CED794,370,269,639,92,73,167,73,73,145,64,68,126,114,105,215,27,18,46,56,60,116,4,8,8,118,109,222,3,4,7,0,0,0,452,450,900,34,64,94,9,6,21,588,591,1185,361,290,654,1321,1151,2476
CED797,45,10,52,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,7,10,4,19,61,14,70
CED801,71742,74492,146232,1235,1315,2552,2275,2448,4722,694,715,1401,680,657,1336,197,220,414,248,215,460,63,77,137,120,107,227,7709,8109,15820,8,3,15,11981,12555,24536,2014,2155,4172,157,138,293,15392,16164,31552,8169,7883,16045,95297,98538,193831
CED802,73482,76381,149865,1603,1600,3202,2403,2540,4944,551,544,1091,606,677,1287,208,204,409,277,268,548,64,69,131,110,97,207,9065,9022,18081,11,12,17,13287,13429,26718,2563,2710,5274,232,194,425,17685,17931,35614,7334,7202,14540,98499,101514,200018
CED894,60,41,98,31,14,47,20,28,43,3,3,6,10,8,18,3,3,7,0,5,6,0,0,0,0,0,0,61,61,122,0,0,0,103,110,211,21,23,45,8,5,14,165,153,319,86,35,125,312,226,538
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,13,8,21,0,0,0,0,0,0,0,4,10,3,0,8,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,13,20,0,4,4,0,3,3,5,22,28,0,3,9,24,28,50
CED997,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,6
