CED_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
CED117,11143,18295,19087,845,277,49645,1707,1427,2515,107,37,5799,293,392,608,46,77,1425,13148,20121,22216,996,387,56867
CED118,32704,9952,2747,99,137,45636,3566,934,475,29,22,5024,915,227,125,48,39,1354,37187,11113,3345,176,198,52020
CED119,33303,4551,4289,131,67,42342,2383,664,852,57,16,3969,567,116,151,16,26,881,36256,5327,5293,208,112,47189
CED120,39067,1753,411,208,153,41596,6126,843,318,145,45,7476,1032,132,25,28,24,1240,46231,2718,758,381,225,50315
CED121,40521,2681,680,227,182,44286,7769,1422,427,188,48,9843,1129,207,60,43,44,1481,49414,4313,1162,457,273,55614
CED122,15177,8071,29103,402,163,52915,2240,1073,4491,48,28,7890,425,256,1249,17,63,2004,17847,9402,34843,467,252,62803
CED123,37212,5661,2628,121,164,45775,5016,1434,1007,61,43,7558,968,330,146,20,27,1488,43198,7418,3782,200,226,54820
CED124,37381,2695,1648,750,258,42731,8746,1602,1080,521,67,12017,1212,187,140,95,33,1666,47346,4489,2867,1365,360,56417
CED125,36434,4543,1561,61,80,42687,4772,1575,511,28,20,6909,945,255,87,8,14,1307,42155,6373,2166,95,119,50901
CED126,30243,3542,10900,250,176,45109,1843,798,1800,36,30,4507,572,190,409,18,31,1215,32655,4522,13114,304,239,50828
CED127,39487,2516,711,114,190,43011,4443,958,313,72,48,5841,835,121,52,19,42,1070,44766,3596,1069,209,279,49918
CED128,30256,4800,5199,196,125,40568,4929,1100,1725,98,54,7905,989,217,279,21,42,1545,36175,6106,7202,311,216,50016
CED129,35615,5553,2852,15,82,44117,1932,420,582,0,12,2946,561,111,104,0,20,797,38110,6080,3537,15,111,47861
CED130,37881,1907,995,445,347,41573,11000,1060,781,286,109,13237,1461,177,120,49,44,1837,50339,3144,1891,780,501,56655
CED131,35318,6897,5329,154,192,47883,5587,1814,1972,44,40,9459,890,255,308,16,41,1504,41795,8963,7604,209,268,58846
CED132,19105,6566,30984,118,160,56927,1155,364,2807,13,13,4354,294,126,729,12,28,1184,20558,7053,34516,146,200,62469
CED133,40363,2597,1502,952,264,45678,9491,1346,986,582,72,12469,1420,159,166,96,41,1893,51279,4098,2654,1626,381,60035
CED134,35505,1152,1491,379,309,38836,12361,687,1313,239,131,14734,1716,74,200,85,53,2127,49585,1910,3002,706,500,55700
CED135,21364,8317,21484,245,214,51620,3141,1249,2874,29,32,7321,752,297,821,12,83,1959,25260,9854,25174,283,332,60905
CED136,38964,4550,1021,289,244,45071,7196,1710,530,151,151,9732,1100,204,89,125,128,1643,47257,6466,1640,566,519,56447
CED137,19106,5001,29418,418,276,54222,2738,493,2826,46,35,6145,480,150,988,24,54,1688,22323,5646,33230,488,370,62053
CED138,33626,7507,3834,1167,364,46495,5054,2471,1463,743,102,9831,1011,413,264,126,62,1886,39695,10394,5560,2036,528,58217
CED139,38636,1122,1972,327,235,42292,10506,756,1319,134,82,12799,1567,89,186,38,31,1909,50709,1973,3476,496,355,57001
CED140,34425,5466,4061,344,163,44456,4889,1911,1275,212,64,8341,885,286,226,22,52,1478,40193,7672,5559,575,275,54272
CED141,38618,3538,1401,222,70,43849,6936,1479,823,169,15,9433,1022,176,102,14,19,1331,46586,5192,2319,410,107,54618
CED142,1464,15072,53511,326,332,70702,240,1522,5842,49,37,7692,86,557,1873,45,145,2704,1786,17155,61223,419,516,81100
CED143,20879,4703,23283,168,135,49173,1309,360,2533,21,24,4244,376,114,570,27,30,1114,22563,5176,26380,220,188,54524
CED144,21005,7392,14681,257,169,43507,4046,1352,3096,59,22,8576,836,285,698,22,197,2035,25889,9029,18477,339,388,54119
CED145,9062,10644,30311,543,233,50785,471,651,3240,54,21,4444,209,253,1044,21,66,1593,9747,11540,34594,618,319,56820
CED146,34145,4664,507,44,198,39555,4875,1213,580,23,36,6732,1243,230,83,9,69,1623,40259,6104,1168,81,299,47915
CED147,38268,3993,1080,256,199,43796,6483,1520,675,221,47,8949,1058,236,103,52,34,1483,45809,5745,1857,532,285,54222
CED194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,35710,4632,837,180,65,41426,3123,1040,264,65,9,4505,738,204,52,14,8,1010,39570,5869,1159,261,85,46946
CED202,40526,4425,877,426,198,46454,7253,1556,428,123,63,9420,1176,234,69,24,62,1568,48951,6218,1370,574,322,57439
CED203,27620,13525,7194,264,165,48772,6365,2205,1257,40,22,9895,1009,438,277,11,29,1756,34998,16172,8733,318,212,60427
CED204,42192,2321,442,219,201,45370,7786,1190,216,113,51,9356,1267,190,41,26,32,1563,51243,3701,699,353,289,56291
CED205,33061,6126,4290,185,80,43738,4881,1367,945,74,18,7286,1042,338,197,27,31,1633,38983,7833,5434,283,129,52659
CED206,35320,5043,854,200,72,41494,5563,1096,267,143,20,7086,1242,229,68,28,39,1605,42128,6369,1185,371,128,50179
CED207,40307,2327,175,135,136,43084,4691,771,35,107,21,5629,916,109,5,15,23,1067,45916,3208,213,259,184,49773
CED208,30862,10720,7572,50,170,49376,4167,1449,1228,4,15,6860,856,333,259,0,38,1476,35877,12501,9055,56,225,57713
CED209,42048,3333,299,316,163,46152,5894,1147,157,121,32,7350,1025,150,30,24,14,1245,48963,4631,486,460,207,54750
CED210,38578,4235,1515,176,132,44638,8320,1642,587,69,30,10646,1301,228,96,11,20,1665,48196,6102,2207,255,185,56949
CED211,38017,7087,1546,34,84,46764,4419,1254,231,0,21,5926,837,239,49,0,24,1158,43272,8576,1829,41,129,53847
CED212,37924,5663,2515,204,66,46372,4416,1714,910,135,13,7180,1019,257,152,23,9,1467,43361,7634,3580,361,85,55020
CED213,42186,3807,337,248,142,46722,6630,1365,185,179,34,8397,1358,243,49,32,20,1701,50175,5412,581,466,194,56821
CED214,30941,11253,6616,216,155,49177,6355,1715,1692,53,43,9855,1081,380,330,36,33,1865,38380,13358,8639,296,231,60896
CED215,39267,1182,1101,302,207,42065,8924,805,681,192,63,10667,1356,107,111,36,113,1718,49548,2094,1898,535,381,54441
CED216,29016,11460,6631,250,173,47536,2477,1387,1163,17,17,5061,571,297,240,3,12,1123,32063,13145,8035,268,202,53716
CED217,45344,4962,371,75,85,50844,5571,1107,191,60,9,6939,1503,190,35,3,7,1733,52421,6255,587,141,107,59516
CED218,19506,12357,23034,265,158,55313,1642,1201,2732,23,18,5613,388,300,689,15,21,1415,21533,13856,26454,295,197,62343
CED219,47017,4923,396,128,59,52526,5153,1038,211,78,18,6500,1535,190,46,16,21,1810,53700,6157,651,227,94,60831
CED220,31280,7958,4076,103,114,43533,5128,1302,781,54,29,7296,929,283,218,9,29,1462,37335,9544,5068,168,171,52285
CED221,38221,1838,715,258,282,41321,8232,1062,487,130,52,9960,1310,175,85,70,17,1661,47757,3076,1291,458,354,52937
CED222,31051,11078,4926,287,122,47464,3655,1869,1203,189,22,6935,824,375,214,18,20,1457,35528,13319,6344,497,165,55853
CED223,35732,5877,2576,54,98,44332,3670,1136,452,5,21,5286,793,197,87,0,24,1103,40196,7206,3116,61,143,50718
CED224,25700,9810,11589,142,149,47391,1918,923,1113,11,20,3979,495,181,410,5,12,1099,28117,10912,13102,155,179,52464
CED225,43168,2492,264,56,82,46054,3402,583,183,28,11,4208,876,102,33,7,16,1038,47443,3181,486,84,112,51300
CED226,53250,8844,1151,69,58,63370,5193,1284,316,58,14,6861,1441,261,59,4,20,1782,59880,10391,1530,129,91,72018
CED227,35006,1534,1157,300,267,38269,10178,1040,1099,208,65,12582,1441,139,170,36,44,1828,46620,2711,2426,547,368,52681
CED228,29639,10095,6462,169,136,46493,6715,1675,1342,35,21,9791,1194,381,254,6,36,1875,37548,12152,8055,214,192,58164
CED229,53973,3820,1158,83,124,59159,5703,775,469,31,25,6996,1278,124,60,10,15,1491,60950,4719,1685,125,168,67648
CED230,45136,2450,800,207,153,48750,8220,1206,614,200,26,10263,1399,193,76,22,30,1720,54756,3849,1489,429,207,60734
CED231,7506,19036,48311,320,467,75638,901,1495,5713,32,37,8185,219,502,1835,58,59,2674,8625,21028,55854,411,570,86495
