CED_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
CED205,38983,115532,5381,12881,2451,7211,7833,20096,4115,9497,714,1426,594,1162,14,29,5434,12109,28,45,74,129,7,19,177,503,283,700,129,277,52659,148710,4418,..,57080,148710
CED206,42128,136052,4250,10270,2117,6068,6369,16340,1028,2756,51,100,101,236,4,8,1185,3100,15,18,174,221,0,9,182,559,371,799,128,328,50179,156616,3431,..,53607,156616
CED207,45916,126580,2486,4117,720,1601,3208,5720,153,277,49,87,3,6,8,14,213,387,115,156,95,127,12,41,33,92,259,414,184,414,49773,133511,4473,..,54249,133511
CED208,35877,103686,7518,16579,4981,14586,12501,31162,6068,13402,1629,3064,1348,2181,9,21,9055,18666,3,9,0,3,0,5,52,119,56,145,225,529,57713,154187,5657,..,63374,154187
CED209,48963,128356,3707,6058,919,1901,4631,7961,439,665,36,62,10,10,3,5,486,742,83,145,183,253,20,51,175,544,460,990,207,451,54750,138494,17700,..,72449,138494
CED210,48196,121105,4931,8082,1175,2376,6102,10461,1906,3010,107,157,186,307,3,8,2207,3485,25,43,100,131,0,3,129,302,255,476,185,404,56949,135935,8980,..,65931,135935
CED211,43272,117164,6428,12650,2148,5338,8576,17987,705,1447,567,1032,545,918,8,16,1829,3410,0,3,3,6,0,0,32,86,41,98,129,288,53847,138958,4446,..,58298,138958
CED212,43361,115352,5912,9588,1726,3498,7634,13089,3320,5213,182,263,73,115,9,13,3580,5606,22,39,296,368,0,4,41,106,361,518,85,177,55020,134743,5608,..,60621,134743
CED213,50175,126604,4334,7140,1080,2315,5412,9459,519,792,33,42,24,51,3,6,581,894,190,254,217,300,23,39,36,73,466,665,194,405,56821,138024,34720,..,91544,138024
CED214,38380,105748,6446,13759,6911,18204,13358,31960,5281,10084,1492,2705,1823,3268,44,95,8639,16153,31,48,38,48,4,9,223,517,296,622,231,456,60896,154930,5715,..,66618,154930
CED215,49548,118478,1847,2666,244,442,2094,3104,1864,2689,31,68,0,0,4,4,1898,2762,171,258,235,353,28,61,100,188,535,854,381,709,54441,125911,12499,..,66942,125911
CED216,32063,92987,7479,14885,5666,14418,13145,29303,4817,8751,1692,2966,1514,2478,18,23,8035,14218,0,3,0,4,0,0,267,571,268,577,202,508,53716,137589,6071,..,59784,137589
CED217,52421,166343,4291,10438,1969,5658,6255,16093,436,830,47,98,96,189,14,20,587,1134,40,61,65,87,4,7,34,108,141,264,107,291,59516,184124,3704,..,63222,184124
CED218,21533,63931,8386,17783,5471,13234,13856,31013,8691,15957,8649,14845,9107,15277,16,20,26454,46094,4,10,8,14,0,7,284,538,295,568,197,427,62343,142034,8381,..,70725,142034
CED219,53700,172394,4946,12536,1208,3580,6157,16119,596,1081,39,64,14,33,3,11,651,1184,33,52,80,113,0,0,116,312,227,476,94,233,60831,190410,3774,..,64605,190410
CED220,37335,110221,6568,14622,2972,8493,9544,23113,3987,8234,526,1022,550,958,3,13,5068,10226,63,73,19,19,0,5,86,166,168,266,171,380,52285,144211,4092,..,56380,144211
CED221,47757,116001,2897,4401,178,364,3076,4761,1151,1721,51,93,78,160,3,15,1291,1985,172,254,124,197,36,79,134,281,458,803,354,768,52937,124323,11157,..,64094,124323
CED222,35528,107062,8308,16640,5011,12705,13319,29349,5220,9521,599,1000,507,941,16,32,6344,11496,72,96,346,455,4,3,81,204,497,749,165,405,55853,149058,4637,..,60490,149058
CED223,40196,111872,4526,8343,2677,6359,7206,14702,2523,4792,244,433,339,570,7,16,3116,5812,6,6,3,4,3,11,47,115,61,133,143,295,50718,132819,4342,..,55061,132819
CED224,28117,85323,6782,14532,4135,10779,10912,25311,5506,10347,4346,8048,3253,5569,0,0,13102,23960,4,6,0,7,3,3,145,348,155,369,179,398,52464,135360,5832,..,58297,135360
CED225,47443,141242,2226,4166,948,2234,3181,6401,459,721,18,24,3,12,0,0,486,764,3,5,49,74,3,7,25,70,84,150,112,265,51300,148820,3728,..,55029,148820
CED226,59880,189659,7883,20942,2511,7014,10391,27955,1402,3084,42,65,85,150,4,3,1530,3300,106,148,6,20,0,6,18,50,129,230,91,215,72018,221363,5402,..,77416,221363
CED227,46620,113936,2621,4166,93,172,2711,4341,2422,3577,0,0,0,3,5,7,2426,3592,239,374,142,259,23,58,136,286,547,973,368,834,52681,123674,8447,..,61126,123674
CED228,37548,110143,5126,11366,7027,18804,12152,30178,4458,8999,1453,2524,2117,3669,30,61,8055,15255,0,0,14,43,3,4,196,474,214,523,192,441,58164,156529,5215,..,63376,156529
CED229,60950,182813,3107,6955,1618,4192,4719,11150,1631,2906,47,95,4,19,0,5,1685,3023,36,55,50,81,13,17,33,77,125,238,168,411,67648,197632,5436,..,73091,197632
CED230,54756,142886,3354,5462,492,1054,3849,6517,1486,2109,0,0,4,7,3,14,1489,2121,150,198,192,281,13,31,68,133,429,646,207,443,60734,152616,11923,..,72654,152616
CED231,8625,22639,10554,23780,10471,26497,21028,50277,5043,9148,9143,16453,41643,82894,26,59,55854,108554,0,3,6,12,57,60,348,784,411,858,570,1166,86495,183488,11640,..,98138,183488
CED232,9027,26197,7645,17659,6839,17088,14481,34744,9483,17006,13156,21980,22047,40264,66,119,44750,79366,3,11,3,6,0,0,566,1028,570,1041,279,507,69108,141853,10926,..,80039,141853
CED233,37594,109394,2688,5686,3719,10401,6407,16087,1090,2254,479,913,1102,2115,6,9,2676,5285,14,26,3,13,0,0,25,65,41,103,157,284,46867,131152,4237,..,51108,131152
CED234,47950,120432,3266,5333,135,290,3406,5624,1214,1762,21,30,3,4,5,12,1253,1805,260,360,238,355,37,65,123,302,650,1080,278,600,53532,129539,8198,..,61731,129539
CED235,46174,140359,3677,9163,2377,6526,6055,15691,1371,3061,362,563,277,504,0,7,2014,4128,3,3,0,4,0,0,15,67,21,75,99,247,54358,160503,3712,..,58072,160503
CED236,46392,111384,2183,3205,364,670,2548,3875,1286,1813,91,113,11,11,7,12,1385,1950,131,193,126,214,29,39,145,302,432,746,343,740,51098,118690,9701,..,60798,118690
