CED_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
CED302,64,363,284,311,549,506,263,408,21,2764,81,288,202,272,515,548,181,379,466,2929,2414,8259,6997,8158,14524,14060,6989,11177,1043,73626
CED303,66,363,324,364,581,579,279,438,25,3019,89,296,222,231,514,580,202,475,491,3110,2256,7867,6622,8396,13470,12722,6664,11080,1090,70168
CED304,57,326,276,304,541,495,246,423,24,2694,55,320,282,222,375,555,216,489,587,3104,2621,9257,9285,8811,16020,18257,9680,17003,1254,92200
CED305,89,329,216,308,572,472,280,565,27,2855,118,219,130,169,341,320,143,350,523,2308,2768,6871,5404,7153,12224,9616,6683,14738,1280,66737
CED306,77,327,257,316,668,506,335,642,39,3165,110,272,178,219,467,422,210,432,613,2933,2695,7321,5854,8036,13018,11198,7797,15124,1439,72482
CED307,75,392,317,349,624,575,316,455,19,3119,84,236,184,223,521,561,207,437,478,2935,2513,8009,6885,8339,14598,13626,7003,10757,1058,72792
CED308,75,397,294,390,575,560,312,471,31,3106,105,399,281,358,656,720,249,556,677,4003,2231,8634,7424,10254,14972,13499,6787,12324,1383,77508
CED309,64,407,305,420,465,467,239,343,16,2722,90,354,252,309,400,462,162,437,538,2999,2269,8895,7592,9913,11580,10813,5812,10704,1097,68671
CED310,72,393,265,330,388,426,198,295,29,2399,93,314,239,260,348,390,161,434,473,2712,2215,8106,6496,8480,9982,9421,5072,9718,1104,60594
CED311,71,353,220,234,485,388,244,482,32,2516,128,235,175,211,297,375,189,500,605,2709,2763,6857,5473,6835,9904,9398,7563,17390,1442,67613
CED312,84,371,281,408,674,594,319,497,27,3263,113,302,250,331,767,773,294,509,671,4019,2344,7299,6390,9069,16036,13707,7137,11057,1471,74501
