CED_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED601,13,388,1456,1303,1528,1224,419,146,46,6518,5,162,854,901,980,732,196,48,18,3897,3,62,597,789,906,660,133,47,17,3210,3,14,333,588,614,440,81,13,5,2088,0,7,277,574,685,459,101,28,12,2142,4,12,106,254,357,302,103,43,24,1214,648,566,909,881,997,1045,1104,680,414,7245,6565,7000,11810,11905,13665,13259,10759,5790,2552,83310
CED602,31,340,1168,1156,1444,1172,407,113,45,5867,10,156,766,769,927,661,170,40,14,3514,4,68,496,628,850,630,105,26,8,2817,0,34,305,455,575,398,80,17,11,1870,0,24,290,485,552,399,93,18,5,1865,9,18,69,178,247,217,84,33,10,854,608,339,686,706,941,1113,1155,886,517,6952,6003,5190,10095,10818,13553,13964,11456,6242,2295,79611
CED603,14,435,1813,1349,1540,1333,563,204,95,7342,4,168,1167,1117,1147,876,302,86,57,4921,3,43,788,1026,1093,834,202,68,29,4090,3,18,418,765,829,551,130,50,21,2779,0,10,429,959,1158,755,201,71,29,3614,3,11,110,462,672,500,223,64,36,2078,487,514,1036,865,936,1036,859,666,473,6867,6280,7693,14520,12695,13537,13210,9635,5509,2701,85773
CED604,17,358,1577,1602,1727,1543,690,201,76,7800,0,122,1140,1247,1230,1021,298,64,22,5157,3,38,772,1069,1173,877,204,44,21,4194,0,20,404,727,864,581,92,25,12,2720,3,16,335,835,1061,666,134,35,18,3102,3,20,97,303,407,301,96,44,18,1284,502,362,794,813,859,980,987,662,366,6328,6114,5076,11485,12917,14289,14888,11760,6124,2394,85049
CED605,21,285,1238,1247,1499,1330,473,131,43,6263,8,106,680,761,946,746,217,39,12,3512,3,39,426,607,814,635,151,16,20,2707,3,13,206,372,488,380,76,14,6,1561,0,14,154,359,520,377,98,17,3,1543,7,24,69,140,223,235,135,39,13,876,801,446,791,901,1222,1443,1396,826,290,8116,6051,4814,9920,11333,14851,16702,13678,5930,1823,85106
CED694,0,3,12,10,5,4,0,0,0,36,0,0,3,7,7,8,0,0,0,27,0,0,7,3,0,0,0,0,0,9,0,0,5,0,0,3,0,0,0,9,0,0,7,4,0,0,0,0,0,18,0,0,3,0,0,0,0,0,0,4,7,19,37,22,27,16,16,6,0,138,62,90,183,147,135,113,84,12,3,835
CED697,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,4,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,9,0,8,23,5,15,12,7,0,0,73
CED701,64,560,1648,1170,1380,950,310,32,13,6132,15,316,1287,1064,1201,832,186,23,3,4929,11,161,1029,1059,1134,740,146,17,0,4302,0,75,620,777,935,713,123,3,0,3254,10,79,987,1363,1360,929,160,20,3,4918,9,34,354,553,635,374,100,6,3,2077,2131,1937,4300,3363,3124,2118,989,293,81,18335,7813,8324,19546,16580,16341,12018,5577,1660,380,88246
CED702,111,1202,3150,1979,1545,1108,415,93,21,9634,26,686,2665,1670,1389,894,283,37,10,7655,15,325,2208,1752,1345,878,209,41,6,6776,3,126,1354,1439,1318,768,160,20,0,5187,3,114,1981,2281,2015,1241,225,36,9,7895,4,55,911,1292,1176,760,169,37,4,4411,887,1103,2978,1960,1668,1397,805,334,126,11251,6327,8265,23389,17984,14870,11192,6002,2125,560,90714
CED794,0,3,24,17,12,26,6,0,0,88,0,3,21,18,16,7,9,0,0,69,0,0,17,11,5,13,4,0,0,49,0,0,5,15,12,0,0,0,0,33,0,3,22,10,18,10,0,0,0,58,0,0,6,8,16,8,3,0,0,39,4,47,143,96,111,81,51,12,0,551,32,183,457,396,461,438,278,38,0,2281
