CED_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
CED210,237,72,987,429,249,251,136,290,25,2679,3,9,5,4,0,3,8,10,0,50,67,128,76,83,71,36,56,49,20,585,99,90,220,141,110,145,175,233,180,1395,4631,11022,7538,6020,4525,2523,1971,2912,671,41807
CED211,274,73,773,314,252,234,74,171,16,2185,6,3,8,3,9,8,8,13,0,53,133,214,76,88,134,66,27,47,31,820,92,128,140,88,100,97,53,94,155,947,7181,18349,6664,5066,6545,3058,1202,2037,652,50746
CED212,279,83,902,426,325,297,105,235,17,2670,5,0,5,8,6,7,0,14,3,51,105,129,63,99,80,39,39,34,19,618,111,119,198,135,116,124,109,169,177,1257,5972,11620,8562,5659,5146,2971,1596,2462,637,44631
CED213,341,68,1053,438,295,286,101,277,22,2884,0,8,13,6,7,5,5,6,4,48,88,106,75,74,74,39,38,32,22,553,168,121,305,167,133,166,103,188,157,1506,6080,9647,9672,5467,4415,2860,1579,2868,613,43198
CED214,271,100,921,435,293,260,125,260,28,2699,9,5,8,9,6,4,7,30,4,85,182,298,84,113,202,71,60,59,29,1093,118,130,187,142,123,96,131,172,215,1318,8312,19045,6826,5336,6695,3247,2130,3104,882,55569
CED215,281,47,862,332,287,266,88,297,21,2484,0,3,0,5,0,3,0,12,6,36,84,85,63,55,56,21,37,42,27,466,204,81,233,166,116,138,152,264,148,1501,4860,8320,7468,4864,3686,1910,1937,2814,572,36441
CED216,269,80,605,266,229,220,31,95,13,1804,10,9,4,3,7,0,5,3,0,30,229,355,55,83,138,106,9,21,28,1023,136,147,76,52,84,90,27,38,127,786,11988,22449,4219,3896,6168,3431,604,1182,755,54685
CED217,326,59,975,487,384,344,283,351,44,3258,5,3,6,5,13,10,21,14,5,82,86,110,97,112,137,59,116,79,36,823,120,98,291,193,200,185,261,268,269,1882,5384,11015,8956,6495,7539,3463,4018,3661,934,51469
CED218,382,104,786,354,247,212,31,95,13,2238,13,12,3,8,7,9,0,11,0,53,254,397,67,99,215,120,10,41,44,1256,108,178,65,78,102,87,22,43,171,861,12451,29590,4353,4219,7410,4288,574,1459,1008,65352
CED219,344,86,1140,491,381,391,290,439,37,3587,9,3,7,11,13,9,12,20,4,95,72,90,142,144,122,64,127,93,30,881,101,109,321,190,174,128,247,294,290,1856,5302,10946,10574,7735,7272,3816,4408,4635,953,55642
