CED_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
CED509,955,41,4,3,0,1007,427,16,3,3,0,448,382,11,0,0,0,391,702,20,0,5,0,729,886,44,0,6,0,931,2645,145,15,7,3,2816,3304,180,35,12,3,3532,5264,224,17,12,7,5523,3031,65,9,3,5,3115,2200,34,0,3,9,2248,1042,24,3,7,4,1080,896,28,3,0,3,931,21735,834,101,53,35,22758
CED510,1072,68,6,0,0,1150,471,33,0,0,0,504,359,20,5,0,0,385,658,34,0,0,0,692,795,52,6,0,0,858,2203,152,17,0,0,2368,2382,180,44,3,3,2619,4279,280,40,0,0,4601,3206,151,13,0,3,3371,3243,114,6,4,0,3366,1795,57,5,0,0,1861,800,47,11,0,3,862,21265,1172,164,17,17,22630
CED511,1004,9,0,13,16,1044,554,14,0,3,3,578,473,14,3,3,3,500,929,23,0,8,0,960,1087,23,0,4,9,1124,3084,92,10,5,12,3204,2881,73,4,3,12,2982,3278,69,4,18,6,3379,1263,29,0,8,10,1305,923,5,0,3,8,946,491,7,0,3,6,504,775,13,0,7,3,799,16757,370,31,76,87,17318
CED512,916,44,3,0,3,969,388,21,0,0,6,414,384,25,0,4,0,412,682,35,0,0,3,727,879,41,0,5,0,932,2876,193,11,9,5,3095,4347,396,5,12,4,4768,9435,684,8,4,20,10160,5614,207,3,8,8,5838,2974,60,3,7,11,3050,1397,35,3,6,0,1448,1130,55,0,3,4,1186,31028,1811,44,51,64,32997
CED513,722,156,132,0,3,1007,250,52,55,0,0,355,237,46,41,0,0,321,358,92,71,0,0,520,471,87,114,0,0,676,1319,368,429,0,4,2112,1454,471,559,6,9,2499,2558,720,798,3,6,4085,1788,397,416,5,11,2620,1917,370,326,3,5,2624,1495,224,196,0,8,1927,452,79,76,0,0,613,13021,3061,3207,23,46,19357
CED514,756,296,26,0,4,1077,229,112,5,0,3,348,205,89,8,0,0,311,347,174,32,0,0,554,443,248,28,0,3,721,1302,837,138,0,3,2274,1394,1360,193,0,12,2957,2277,1987,133,0,16,4415,1436,818,46,0,7,2312,1738,556,22,0,3,2316,1280,282,13,0,3,1578,501,213,15,0,3,731,11911,6967,665,5,52,19591
CED515,802,209,38,0,3,1055,232,73,15,0,0,323,228,50,16,0,0,291,383,98,37,0,0,523,524,157,34,0,3,717,1354,426,169,0,3,1949,1719,647,251,4,3,2620,3128,1005,340,0,7,4487,1853,496,118,4,8,2473,1711,408,107,5,3,2235,1239,239,67,0,3,1551,478,107,32,0,0,624,13642,3912,1229,17,43,18844
CED516,979,127,12,0,0,1124,324,38,3,0,0,370,272,38,10,0,0,317,409,65,11,0,0,480,501,82,6,0,0,601,1418,192,35,0,3,1653,1445,273,31,0,3,1755,2646,409,68,0,6,3128,1755,220,31,0,0,2009,2268,235,17,0,8,2524,1861,157,15,0,16,2047,536,79,8,0,0,620,14420,1914,253,4,40,16633
CED594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED601,588,25,21,0,3,635,456,19,13,0,4,487,415,13,9,0,3,440,883,30,20,0,0,934,1278,44,38,0,5,1370,3152,94,66,7,6,3326,2358,66,24,3,5,2466,1495,49,17,5,6,1565,454,19,8,0,0,481,329,13,6,3,0,346,173,4,0,0,0,185,412,10,4,3,0,435,11997,380,226,28,41,12667
CED602,692,11,4,3,0,708,531,8,5,0,7,551,582,8,4,3,3,595,982,20,7,0,5,1012,1442,30,3,0,3,1483,3290,25,6,9,6,3334,2058,16,0,3,6,2083,1180,3,4,4,3,1196,320,0,0,0,3,329,218,3,0,0,0,226,133,0,0,4,0,136,419,6,0,0,0,425,11849,132,28,33,35,12081
CED603,655,31,35,0,0,728,385,17,30,0,0,428,311,19,22,0,0,357,620,35,47,0,0,700,861,53,94,0,0,1012,2489,96,135,9,4,2725,2331,84,102,3,3,2520,1856,68,65,4,0,1996,658,32,23,0,0,715,564,27,11,0,0,601,360,20,14,0,0,395,368,14,19,0,0,406,11450,494,595,28,11,12586
CED604,834,10,14,3,0,861,524,8,0,0,0,535,468,10,5,0,0,482,845,20,4,6,0,874,1102,16,11,4,3,1144,2919,70,37,9,4,3039,3145,47,32,5,6,3238,2744,19,3,4,5,2783,871,6,0,3,0,875,599,6,3,4,4,611,287,0,0,4,4,292,460,7,9,3,3,475,14794,218,122,46,36,15215
CED605,769,3,8,6,4,790,684,4,3,8,3,697,599,0,9,3,0,611,1169,6,11,9,9,1206,1479,15,13,6,6,1526,3260,9,44,12,9,3337,2423,6,18,11,4,2464,1526,3,5,7,12,1560,454,0,0,0,3,457,267,0,0,0,0,267,144,0,0,5,7,154,592,0,3,11,0,610,13376,51,106,77,71,13681
