CED_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
CED509,17,30,0,1958,246,51,20,302,27,194,12,74,36,126,1468,2556,13,3,8,26,6,14,0,0,11,19,43,144,3002,660,134,4978,526,3771,195,915,289,1335,1556,17360
CED510,39,55,3,4209,354,60,23,460,42,217,22,79,25,108,1631,3023,24,4,15,33,3,13,3,7,9,12,39,158,3750,717,163,7202,617,3922,252,908,229,1036,1684,20475
CED511,10,16,3,1483,365,59,23,350,37,182,36,64,21,120,1271,2526,27,6,11,20,5,13,0,0,13,39,105,239,2973,594,200,4909,492,3040,226,732,268,1072,1427,15928
CED512,27,41,4,2101,343,66,21,405,41,232,31,83,29,173,2422,3845,27,4,19,43,0,13,0,3,10,20,46,193,4403,843,232,6765,747,4932,328,1043,398,1361,2525,23581
CED513,25,55,0,3056,183,31,10,196,26,146,13,47,17,90,981,1744,14,7,4,8,0,9,3,4,9,6,31,93,2630,631,110,4494,546,3112,165,775,187,1115,1036,14789
CED514,15,55,0,2775,189,56,14,252,22,149,19,63,20,144,1064,2003,8,4,8,22,10,14,6,3,9,17,55,147,2646,709,127,4910,542,3493,179,1033,206,1615,1152,16622
CED515,21,43,3,2553,168,38,12,173,13,144,13,56,21,99,1138,1875,11,0,11,20,3,5,3,0,7,16,40,114,2727,664,110,4149,457,3660,165,952,233,1397,1205,15705
CED516,34,91,9,4306,263,58,4,311,33,197,17,79,27,127,1526,2644,13,3,6,22,7,15,4,0,3,7,33,113,3292,762,95,5664,455,3880,166,1052,210,1405,1580,18553
CED594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED601,3,12,3,591,179,29,4,225,12,90,10,41,12,75,502,1178,3,3,8,17,3,3,3,0,10,15,20,81,1748,484,80,3420,324,1635,135,558,134,994,574,10089
CED602,8,9,0,399,164,36,16,215,28,115,15,47,21,94,531,1270,4,0,3,10,3,4,3,3,7,17,34,91,1602,418,89,3050,321,1593,136,592,143,954,602,9507
CED603,3,23,4,1169,165,32,4,185,11,76,3,38,11,82,511,1117,9,3,4,7,0,0,0,3,8,17,10,58,1938,610,79,3217,366,1447,123,572,112,873,547,9875
CED604,0,10,3,853,192,49,6,267,16,92,17,61,23,81,579,1379,3,0,8,9,0,7,3,3,0,14,21,71,2223,667,87,4101,438,1625,167,680,115,873,633,11613
CED605,3,11,3,322,192,59,13,266,20,124,6,66,18,134,490,1392,12,0,9,14,3,9,0,4,3,29,41,120,1731,533,126,3121,315,1603,158,694,176,1156,588,10199
CED694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED701,6,8,10,1050,280,30,11,101,26,115,11,75,29,283,594,1544,25,11,22,16,4,27,4,28,14,160,182,484,2797,330,157,1735,351,1660,103,589,182,2546,846,11287
CED702,15,22,3,2363,294,23,14,115,30,124,6,26,26,59,843,1557,24,0,20,8,3,12,0,3,9,11,40,132,4195,293,159,2705,575,2609,120,389,205,596,918,12769
CED794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED801,22,84,7,6267,530,46,23,337,62,177,13,52,27,132,1279,2680,24,4,13,10,4,9,0,0,0,13,40,125,7167,793,251,6353,1179,3301,242,779,210,1195,1374,22850
CED802,18,67,11,5350,396,34,16,212,42,168,8,48,22,113,1298,2352,26,0,5,20,3,14,0,0,6,11,38,120,7519,912,257,7073,1330,4155,295,899,213,1293,1394,25339
CED894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
